_id,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,retiredAt,retiredReason,createdAt,data.political_affiliation,data.avatar,data.neighbor_ids,data.responses,data.response0TimeAt,data.response0,data.response1TimeAt,data.response1,data.response2TimeAt,data.response2,data.response3TimeAt,data.response3,data.response4TimeAt,data.response4,data.total_reward,data.base_reward,data.bonus,data.made_submission,data.age,data.education,data.gender,data.instruction_first_guess,data.instruction_second_guess,data.article,data.mile,data.stone,data.years,data.last_response0,data.last_response1,data.last_response2,data.last_response3,data.last_response4,data.other_player_party,data.knowledge,data.senate,data.state,data.american,data.neighborhood,data.democrats,data.republicans,data.determined,data.attentive,data.alert,data.inspired,data.active,data.afraid,data.nervous,data.upset,data.ashamed,data.hostile,data.american_feel,data.texan_feel,data.democrats_feel,data.californians_feel,data.chinese_feel,data.republicans_feel,data.clarity,data.fairness,data.lookup,data.familiarity,data.feedback,data.province,data.official,data.city,data.champion,data.hotdog,data.boston,data.last_responses,data.russians_feel,data.iranians_feel
MTKJGpuukonWH3E5P,Bob,2019-10-17T23:51:17Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:17Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HaojzKemaQhTjHwna,Bob,2019-10-17T23:51:17Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:17Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uGxyaPdA8FT9zyxKW,Bob,2019-10-17T23:51:17Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:17Z,republican,republican.png,S3NXwG42Wvnstguk4,"60,50,44,37,30",2019-10-18T20:53:22.473Z,60.0,2019-10-18T20:53:30.274Z,50.0,2019-10-18T20:53:43.287Z,44.0,2019-10-18T20:53:57.675Z,37.0,2019-10-18T20:54:08.872Z,30.0,3.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpP9gCKWuzccdfYny,Bob,2019-10-17T23:51:17Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:17Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dAR5NNg2LcAEQGJtm,Bob,2019-10-17T23:51:17Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:17Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKthnCz95foXQHFMy,Bob,2019-10-17T23:51:17Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:17Z,republican,republican.png,DE3Puwso5NfJ84F5t,"95,95,95,95,95",2019-10-18T14:28:18.088Z,95.0,2019-10-18T14:28:40.192Z,95.0,2019-10-18T14:28:58.475Z,95.0,2019-10-18T14:29:07.575Z,95.0,2019-10-18T14:29:16.877Z,95.0,3.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nRFczCqRePZ74CW2S,Bob,2019-10-17T23:51:18Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:18Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
virWRHfLjCEkKoXsr,Bob,2019-10-17T23:51:18Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:18Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fbajNGthy7ayvuCRT,Bob,2019-10-17T23:51:18Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:18Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aXGtWsz9iaGPFyhEG,Bob,2019-10-17T23:51:18Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:18Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i4S2TiJnNbRYsjd2s,Bob,2019-10-17T23:51:18Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:18Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5uxBz9QBQYj6jp5yG,Bob,2019-10-17T23:51:18Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:18Z,republican,republican.png,Cik9RQwxdKZnyQrzG,"86,86,86,86,86",2019-10-18T14:48:42.869Z,86.0,2019-10-18T14:48:48.882Z,86.0,2019-10-18T14:49:03.068Z,86.0,2019-10-18T14:49:12.067Z,86.0,2019-10-18T14:49:24.578Z,86.0,3.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NS7s5Snp2jR33Y23S,Bob,2019-10-17T23:51:18Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:18Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
