_id,index,availableCount,timeoutStartedAt,timedOutAt,queuedPlayerIds,playerIds,gameId,treatmentId,batchId,lobbyConfigId,createdAt
JcNhiSGWbjixgNS3H,0,2,,,MTKJGpuukonWH3E5P,MTKJGpuukonWH3E5P,,LZyA5MwjsqCWsH2Dj,78SDW7heGxit6SoAb,aeB2uXdaZEYRNHSR7,2019-10-17T23:51:17Z
hoj9t257kr37zs9Fc,1,2,,,HaojzKemaQhTjHwna,HaojzKemaQhTjHwna,,u3gEThX9uiDhF9CNa,78SDW7heGxit6SoAb,aeB2uXdaZEYRNHSR7,2019-10-17T23:51:17Z
65CnEx2v7riWPJWPE,2,2,2019-10-18T20:53:05Z,,"uGxyaPdA8FT9zyxKW,S3NXwG42Wvnstguk4","uGxyaPdA8FT9zyxKW,S3NXwG42Wvnstguk4",SKyTH3vMuEvWgoWqo,hAS6iJNQqj4spPRQq,78SDW7heGxit6SoAb,aeB2uXdaZEYRNHSR7,2019-10-17T23:51:17Z
A6RDt39YBT56iXPWt,3,2,,,gpP9gCKWuzccdfYny,gpP9gCKWuzccdfYny,,hv52DcJuygvyxLywW,78SDW7heGxit6SoAb,aeB2uXdaZEYRNHSR7,2019-10-17T23:51:17Z
FfGWWmgPKaeqsgfhM,4,2,,,dAR5NNg2LcAEQGJtm,dAR5NNg2LcAEQGJtm,,LZyA5MwjsqCWsH2Dj,78SDW7heGxit6SoAb,aeB2uXdaZEYRNHSR7,2019-10-17T23:51:17Z
42k5q5yzyPpNk6nez,5,2,2019-10-18T14:28:01Z,,"WKthnCz95foXQHFMy,DE3Puwso5NfJ84F5t","WKthnCz95foXQHFMy,DE3Puwso5NfJ84F5t",T5pnyz7zaZiY5LfpF,DQb22qJp6dvaNgtuE,78SDW7heGxit6SoAb,aeB2uXdaZEYRNHSR7,2019-10-17T23:51:18Z
mrFfDLGmXM7dKiMWo,6,2,,,nRFczCqRePZ74CW2S,nRFczCqRePZ74CW2S,,DQb22qJp6dvaNgtuE,78SDW7heGxit6SoAb,aeB2uXdaZEYRNHSR7,2019-10-17T23:51:18Z
YxaR6ZqeDHPqRQ4qi,7,2,,,virWRHfLjCEkKoXsr,virWRHfLjCEkKoXsr,,hAS6iJNQqj4spPRQq,78SDW7heGxit6SoAb,aeB2uXdaZEYRNHSR7,2019-10-17T23:51:18Z
RTazroSSJZyZa6D4N,8,2,,,fbajNGthy7ayvuCRT,fbajNGthy7ayvuCRT,,j6H8qCMf8rTfMF6eZ,78SDW7heGxit6SoAb,aeB2uXdaZEYRNHSR7,2019-10-17T23:51:18Z
85mhSkhxqsfWDZtoo,9,2,,,aXGtWsz9iaGPFyhEG,aXGtWsz9iaGPFyhEG,,DQb22qJp6dvaNgtuE,78SDW7heGxit6SoAb,aeB2uXdaZEYRNHSR7,2019-10-17T23:51:18Z
KbfuFqyMqcb2kuDYP,10,2,,,i4S2TiJnNbRYsjd2s,i4S2TiJnNbRYsjd2s,,hAS6iJNQqj4spPRQq,78SDW7heGxit6SoAb,aeB2uXdaZEYRNHSR7,2019-10-17T23:51:18Z
oQL3j4b9v2fnXrQae,11,2,2019-10-18T14:48:23Z,,"5uxBz9QBQYj6jp5yG,Cik9RQwxdKZnyQrzG","5uxBz9QBQYj6jp5yG,Cik9RQwxdKZnyQrzG",3nTYgsFo9QhJwNRfQ,DQb22qJp6dvaNgtuE,78SDW7heGxit6SoAb,aeB2uXdaZEYRNHSR7,2019-10-17T23:51:18Z
zDjErH6GyyrL2kFyB,12,2,,,NS7s5Snp2jR33Y23S,NS7s5Snp2jR33Y23S,,u3gEThX9uiDhF9CNa,78SDW7heGxit6SoAb,aeB2uXdaZEYRNHSR7,2019-10-17T23:51:18Z
d7JbKkPca9hJpDPhF,13,2,,,WdXt64GzuJtzoWt9u,WdXt64GzuJtzoWt9u,,j6H8qCMf8rTfMF6eZ,78SDW7heGxit6SoAb,aeB2uXdaZEYRNHSR7,2019-10-17T23:51:19Z
wPQmsNqdB73DbcM7u,14,2,,,zG4cXXJGmrNbFuRTd,zG4cXXJGmrNbFuRTd,,LZyA5MwjsqCWsH2Dj,78SDW7heGxit6SoAb,aeB2uXdaZEYRNHSR7,2019-10-17T23:51:19Z
6sXWoXSpvRXQF6Nbt,15,2,,,aKzZR8xewcqNnFzQs,aKzZR8xewcqNnFzQs,,hv52DcJuygvyxLywW,78SDW7heGxit6SoAb,aeB2uXdaZEYRNHSR7,2019-10-17T23:51:19Z
WpDjZq23mdKAx62Ln,16,2,,,hgNXgL4hBJG5ZzYzb,hgNXgL4hBJG5ZzYzb,,j6H8qCMf8rTfMF6eZ,78SDW7heGxit6SoAb,aeB2uXdaZEYRNHSR7,2019-10-17T23:51:19Z
8xiayy9rmo6Pf4dd4,17,2,2019-10-18T17:28:43Z,,"SQfmTHKztvYQZvmi7,DmmZon64bcQEnJPxp","SQfmTHKztvYQZvmi7,DmmZon64bcQEnJPxp",BkpCo3wD8Gyg6R6oq,LZyA5MwjsqCWsH2Dj,78SDW7heGxit6SoAb,aeB2uXdaZEYRNHSR7,2019-10-17T23:51:19Z
3ueKAo785n559dGHa,18,2,,,RdDvPH2L5P3JZFZDs,RdDvPH2L5P3JZFZDs,,j6H8qCMf8rTfMF6eZ,78SDW7heGxit6SoAb,aeB2uXdaZEYRNHSR7,2019-10-17T23:51:19Z
Q5yfrygK9L9LnFgPh,19,2,,,62YurE9cWeT5LARvg,62YurE9cWeT5LARvg,,u3gEThX9uiDhF9CNa,78SDW7heGxit6SoAb,aeB2uXdaZEYRNHSR7,2019-10-17T23:51:20Z
cGz82pkLk7Qfq85P2,20,2,2019-10-18T15:20:44Z,,"JGBZT7k77j3M7MZu7,HFRLXqnaFkMMAewEx","JGBZT7k77j3M7MZu7,HFRLXqnaFkMMAewEx",9uJeFbTnGa9vwAgcr,hAS6iJNQqj4spPRQq,78SDW7heGxit6SoAb,aeB2uXdaZEYRNHSR7,2019-10-17T23:51:20Z
mAin7ystkorGRZ6hN,21,2,,,vBcRnDyTgp6BKvHZN,vBcRnDyTgp6BKvHZN,,j6H8qCMf8rTfMF6eZ,78SDW7heGxit6SoAb,aeB2uXdaZEYRNHSR7,2019-10-17T23:51:20Z
