_id,finishedAt,gameLobbyId,treatmentId,roundIds,playerIds,batchId,createdAt
cFPZmehJzjefLEs6s,2019-10-18T14:08:08Z,fM7CPaL6xY4gxJwxT,hv52DcJuygvyxLywW,NbPTX8TY2BjZEeyoc,"643NocZe6kKQi2RLB,QYF6zfw8sCJsrphia",78SDW7heGxit6SoAb,2019-10-18T14:07:03Z
exxf67MJcoHz64TaN,2019-10-18T14:11:10Z,ufNB5zKY7R6hjBD7Y,DQb22qJp6dvaNgtuE,xH8iPe5fqYpZDnxHS,"7MrjaoH5237seAJBM,B3CB7fHfRxYfv5Cxj",78SDW7heGxit6SoAb,2019-10-18T14:09:55Z
nZNKoymADKsHiCvAQ,2019-10-18T14:16:20Z,7FjBf2obv72c4mnBc,DQb22qJp6dvaNgtuE,9SxPvrbQwCmtEmFcb,"cduGtdtRpKpdWyA5H,iFLjKiEt9eERKuS5d",78SDW7heGxit6SoAb,2019-10-18T14:15:18Z
GwxRNDzWZNzrPJ6bp,2019-10-18T14:24:48Z,B9AMA5PZGqCBNXPx2,DQb22qJp6dvaNgtuE,jNBPyhu22fsQh99hE,"SXjBs9pxHeBa2jtE9,ne85Hd6LmrRqMENJo",78SDW7heGxit6SoAb,2019-10-18T14:23:22Z
T5pnyz7zaZiY5LfpF,2019-10-18T14:29:21Z,42k5q5yzyPpNk6nez,DQb22qJp6dvaNgtuE,H7GRmWFuCnZgAQcsp,"DE3Puwso5NfJ84F5t,WKthnCz95foXQHFMy",78SDW7heGxit6SoAb,2019-10-18T14:28:02Z
3nTYgsFo9QhJwNRfQ,2019-10-18T14:49:27Z,oQL3j4b9v2fnXrQae,DQb22qJp6dvaNgtuE,X8Gs9jsukXZQaMHkC,"5uxBz9QBQYj6jp5yG,Cik9RQwxdKZnyQrzG",78SDW7heGxit6SoAb,2019-10-18T14:48:24Z
hxnpyEJCcjBpQQHfG,2019-10-18T14:51:14Z,nmdaLWDphGL3smWGM,j6H8qCMf8rTfMF6eZ,uom6k4yfeAWpuGiKq,"2qRh7Ni27fEwsYFXd,4TytmyBREpX5yACCX",78SDW7heGxit6SoAb,2019-10-18T14:49:36Z
HyyHF6N9LdHAccKWk,2019-10-18T15:16:36Z,Y3xDLHRGXTuf4yNdJ,j6H8qCMf8rTfMF6eZ,4adairdDobHuy6LsQ,"BsSqBsK36FGuWXWak,uZ5dPi85ToGGnNRJr",78SDW7heGxit6SoAb,2019-10-18T15:15:29Z
yHtCfWRbuQwW2Lbkn,2019-10-18T15:18:36Z,a2Dvpf8N6yWSRFny6,LZyA5MwjsqCWsH2Dj,TyftxXESrPSLwLsJ9,"dz87MNmw4PrPzB28q,sf5jHDgQx95PTCryZ",78SDW7heGxit6SoAb,2019-10-18T15:17:29Z
9uJeFbTnGa9vwAgcr,2019-10-18T15:21:49Z,cGz82pkLk7Qfq85P2,hAS6iJNQqj4spPRQq,xrQnzrSJ5R2QoBrGW,"HFRLXqnaFkMMAewEx,JGBZT7k77j3M7MZu7",78SDW7heGxit6SoAb,2019-10-18T15:20:45Z
ZXEopSwxacjWc7FLy,2019-10-18T15:31:52Z,aP5QSRcTzKEE9uYxX,hv52DcJuygvyxLywW,trPGczXoJevbyfzzg,"AkJr3AGQFpBB4STYt,Wmc7vfMiz8XfD7wzh",78SDW7heGxit6SoAb,2019-10-18T15:31:00Z
6QLp7YFe3QAr5BAZg,2019-10-18T15:34:19Z,rKYjr62uwix2GafJv,LZyA5MwjsqCWsH2Dj,Qf7sSCWefHnt3MMET,"LsxpHBcDsEqsvFhfg,amTmTMsWi6YjSNe29",78SDW7heGxit6SoAb,2019-10-18T15:33:09Z
ZRzioWPuiHwZJFHfj,2019-10-18T15:39:27Z,CXgNJ3xCKkR23HzcJ,u3gEThX9uiDhF9CNa,PKZzaPtkEa3y4NPFQ,"8f5bHGL3Gkcgj3NW8,vxXXsn3j7GZMbgPYo",78SDW7heGxit6SoAb,2019-10-18T15:38:11Z
wETDPjEqRGKdSQwKL,2019-10-18T15:50:30Z,cZAog6wh7qh5Cm9KJ,u3gEThX9uiDhF9CNa,tcuWAR8LWhFp5C45y,"72yHPgzqMCXs3g8KT,pWhTmRxDHQE7rXNrh",78SDW7heGxit6SoAb,2019-10-18T15:49:29Z
hjF8myqsJCBknSZRA,2019-10-18T16:10:51Z,QeNj8CRkn73JBeoLi,u3gEThX9uiDhF9CNa,inYAqHoTKyhR2YSNs,"CaQmubYtGFnLWjSPc,QYwFqv53Gt6vYFKyt",78SDW7heGxit6SoAb,2019-10-18T16:09:52Z
4Sicwdg25vBXXM6xB,2019-10-18T16:18:30Z,EFSuFrYd5MGBFzgzd,j6H8qCMf8rTfMF6eZ,9C7AYX8qzr5Szjofu,"5fLNELo8QN27pC8C7,oWfWmyFcyJeQGt8cG",78SDW7heGxit6SoAb,2019-10-18T16:17:07Z
ZK6ddJrPz2ahXk7Lj,2019-10-18T16:31:35Z,vCTLp4QdXEaqDZmCT,j6H8qCMf8rTfMF6eZ,opENWRFnmbh9eEoAP,"fh4tA6MRPsX5CJXtP,p2yJ3iFF39BibLTwy",78SDW7heGxit6SoAb,2019-10-18T16:30:34Z
2Qfv2Rjfuc8jy4ZBE,2019-10-18T16:32:19Z,JQePvZ5JZ3w3fz9i2,u3gEThX9uiDhF9CNa,PmabE7GK9boCgWf96,"5LqCwgBrRauEaoyCb,XFLxPnWvXNe3pg37v",78SDW7heGxit6SoAb,2019-10-18T16:30:50Z
JFTquiiGD3dp9CxEr,2019-10-18T16:36:47Z,p93Ni7wD56kbFm3pk,DQb22qJp6dvaNgtuE,eKxFNcvjbjniB729F,"8mCKA9EREa6ymNGtz,LjW7NK6zkAcn4iLFc",78SDW7heGxit6SoAb,2019-10-18T16:35:37Z
8TSk6wyXLDkQcumqr,2019-10-18T17:27:02Z,f7Pj3SGm8dYAbqZtp,hAS6iJNQqj4spPRQq,ycLBnEsaeFKCq99c2,"jrNBT5uP7JAAJkFxD,r8khYqcqJdwqeTuvX",78SDW7heGxit6SoAb,2019-10-18T17:26:06Z
BkpCo3wD8Gyg6R6oq,2019-10-18T17:30:02Z,8xiayy9rmo6Pf4dd4,LZyA5MwjsqCWsH2Dj,CxKAQzxeq7QusncCR,"DmmZon64bcQEnJPxp,SQfmTHKztvYQZvmi7",78SDW7heGxit6SoAb,2019-10-18T17:28:44Z
w5G2CvdvYuBkf2AhX,2019-10-18T17:30:52Z,aphuaRAY8ArKLPiuk,DQb22qJp6dvaNgtuE,SzS6ZJMynb72DRAtH,"3uBAcHxjWEpGXfLwE,Kn8ewbjyftirE3jnn",78SDW7heGxit6SoAb,2019-10-18T17:29:16Z
YHPwGemXLapYp9Yum,2019-10-18T18:17:32Z,ZezngewQ7WkqvCJe3,j6H8qCMf8rTfMF6eZ,byvisYSZWxEziBuXw,"i9GyBDBraEwjCknia,kQ8eSdiARNME8Lqfw",78SDW7heGxit6SoAb,2019-10-18T18:16:13Z
sSrXPSSQbh76JZ7mS,2019-10-18T18:49:59Z,TC8v2D8zmx6dYEung,hv52DcJuygvyxLywW,qRrS2jP3n8usrLttX,"4C8pJQKFPHCnRCXkB,NYhk9LmYrPcmZ5baz",78SDW7heGxit6SoAb,2019-10-18T18:48:48Z
W2GbbsYkpou6knFh4,2019-10-18T18:57:06Z,HuCdAD9PNLaXtjMsW,hv52DcJuygvyxLywW,Dg7jCuRBKDXcKe2gY,"cXH3aR32TthF2zWnF,k3r2cZe2nNkhCRNkN",78SDW7heGxit6SoAb,2019-10-18T18:56:06Z
DHtCntQPz86nMgm3x,2019-10-18T19:31:36Z,eKXdMvKjhpE3XzvqG,hv52DcJuygvyxLywW,tWEnsrX8xEYfzickR,"SBaoFSuomFrxAE4iC,dKJxZBzYY58W4YDgr",78SDW7heGxit6SoAb,2019-10-18T19:30:22Z
7M46u9Jsm95jJu4Aa,2019-10-18T20:48:49Z,eWWkeYPt7zuFSr7uG,DQb22qJp6dvaNgtuE,Go3TsqFn2N6iWEFb7,"RMZJW3tbzW9HPiLJE,WJz63pwWjwYGvnJ79",78SDW7heGxit6SoAb,2019-10-18T20:47:42Z
QkXkxGJSg2Y32G2X4,2019-10-18T20:49:03Z,G5QunSQEvQDxEKSgX,hv52DcJuygvyxLywW,f3u9LMYeJH8FP3JeN,"NmNsafJCsEYa66GAt,hcsJMwBLtnaQXNaKZ",78SDW7heGxit6SoAb,2019-10-18T20:47:52Z
4o3fKkjiv8fKxr2yi,2019-10-18T20:53:33Z,CWbaJf7yFuPjuavbG,j6H8qCMf8rTfMF6eZ,8nPHooHj4nnFjizXG,"5LFtnFSGdjvpnwALo,Fd5c5z4Prjko6BbTF",78SDW7heGxit6SoAb,2019-10-18T20:52:18Z
SKyTH3vMuEvWgoWqo,2019-10-18T20:54:10Z,65CnEx2v7riWPJWPE,hAS6iJNQqj4spPRQq,QfHJH4BiRZywtQqQQ,"S3NXwG42Wvnstguk4,uGxyaPdA8FT9zyxKW",78SDW7heGxit6SoAb,2019-10-18T20:53:06Z
