_id,batchId,playerId,roundId,gameId,createdAt
yJshPT8ntbEmC5JS2,78SDW7heGxit6SoAb,643NocZe6kKQi2RLB,NbPTX8TY2BjZEeyoc,cFPZmehJzjefLEs6s,2019-10-18T14:07:03Z
bGtNfScpoG62xmuui,78SDW7heGxit6SoAb,QYF6zfw8sCJsrphia,NbPTX8TY2BjZEeyoc,cFPZmehJzjefLEs6s,2019-10-18T14:07:03Z
dKLAnbbDAKqoFWSZq,78SDW7heGxit6SoAb,7MrjaoH5237seAJBM,xH8iPe5fqYpZDnxHS,exxf67MJcoHz64TaN,2019-10-18T14:09:55Z
fWW9LdKACkGBkSSnf,78SDW7heGxit6SoAb,B3CB7fHfRxYfv5Cxj,xH8iPe5fqYpZDnxHS,exxf67MJcoHz64TaN,2019-10-18T14:09:55Z
R42qc9moZ4o8L8y9L,78SDW7heGxit6SoAb,cduGtdtRpKpdWyA5H,9SxPvrbQwCmtEmFcb,nZNKoymADKsHiCvAQ,2019-10-18T14:15:18Z
rzyyz8R6DMq3jpwQF,78SDW7heGxit6SoAb,iFLjKiEt9eERKuS5d,9SxPvrbQwCmtEmFcb,nZNKoymADKsHiCvAQ,2019-10-18T14:15:18Z
sL6iQhwJaE2wFZq2v,78SDW7heGxit6SoAb,SXjBs9pxHeBa2jtE9,jNBPyhu22fsQh99hE,GwxRNDzWZNzrPJ6bp,2019-10-18T14:23:22Z
SnnphSTZrh7BnWPYQ,78SDW7heGxit6SoAb,ne85Hd6LmrRqMENJo,jNBPyhu22fsQh99hE,GwxRNDzWZNzrPJ6bp,2019-10-18T14:23:22Z
s3KcXfQseGzwSym9P,78SDW7heGxit6SoAb,DE3Puwso5NfJ84F5t,H7GRmWFuCnZgAQcsp,T5pnyz7zaZiY5LfpF,2019-10-18T14:28:02Z
EBMjE363b8c678tex,78SDW7heGxit6SoAb,WKthnCz95foXQHFMy,H7GRmWFuCnZgAQcsp,T5pnyz7zaZiY5LfpF,2019-10-18T14:28:02Z
SBiAqBwKD3yxWjELX,78SDW7heGxit6SoAb,5uxBz9QBQYj6jp5yG,X8Gs9jsukXZQaMHkC,3nTYgsFo9QhJwNRfQ,2019-10-18T14:48:24Z
wAmwg8dghbrX8f3j2,78SDW7heGxit6SoAb,Cik9RQwxdKZnyQrzG,X8Gs9jsukXZQaMHkC,3nTYgsFo9QhJwNRfQ,2019-10-18T14:48:24Z
kz3ih5fuCx93qWQ6Z,78SDW7heGxit6SoAb,2qRh7Ni27fEwsYFXd,uom6k4yfeAWpuGiKq,hxnpyEJCcjBpQQHfG,2019-10-18T14:49:36Z
MqETwcxTzjquYRoQd,78SDW7heGxit6SoAb,4TytmyBREpX5yACCX,uom6k4yfeAWpuGiKq,hxnpyEJCcjBpQQHfG,2019-10-18T14:49:36Z
nLT7Bnts8yT6D4wQM,78SDW7heGxit6SoAb,BsSqBsK36FGuWXWak,4adairdDobHuy6LsQ,HyyHF6N9LdHAccKWk,2019-10-18T15:15:29Z
8vwhY2nrCvtEHmXPB,78SDW7heGxit6SoAb,uZ5dPi85ToGGnNRJr,4adairdDobHuy6LsQ,HyyHF6N9LdHAccKWk,2019-10-18T15:15:29Z
YDsDnwCfPoewWa2GF,78SDW7heGxit6SoAb,dz87MNmw4PrPzB28q,TyftxXESrPSLwLsJ9,yHtCfWRbuQwW2Lbkn,2019-10-18T15:17:29Z
8nJPtzqcfbqQfRD6L,78SDW7heGxit6SoAb,sf5jHDgQx95PTCryZ,TyftxXESrPSLwLsJ9,yHtCfWRbuQwW2Lbkn,2019-10-18T15:17:29Z
QqaZ4y6Eht9LLDfJd,78SDW7heGxit6SoAb,HFRLXqnaFkMMAewEx,xrQnzrSJ5R2QoBrGW,9uJeFbTnGa9vwAgcr,2019-10-18T15:20:45Z
rt8nWiuiinjqseEMz,78SDW7heGxit6SoAb,JGBZT7k77j3M7MZu7,xrQnzrSJ5R2QoBrGW,9uJeFbTnGa9vwAgcr,2019-10-18T15:20:45Z
6DgixTqyH7JNnL4a4,78SDW7heGxit6SoAb,AkJr3AGQFpBB4STYt,trPGczXoJevbyfzzg,ZXEopSwxacjWc7FLy,2019-10-18T15:31:00Z
bmHfT3S5Liejg5cny,78SDW7heGxit6SoAb,Wmc7vfMiz8XfD7wzh,trPGczXoJevbyfzzg,ZXEopSwxacjWc7FLy,2019-10-18T15:31:00Z
YcEbaBHcGz3bhbSGt,78SDW7heGxit6SoAb,LsxpHBcDsEqsvFhfg,Qf7sSCWefHnt3MMET,6QLp7YFe3QAr5BAZg,2019-10-18T15:33:09Z
6vG8Q6BJD67pXWizz,78SDW7heGxit6SoAb,amTmTMsWi6YjSNe29,Qf7sSCWefHnt3MMET,6QLp7YFe3QAr5BAZg,2019-10-18T15:33:09Z
yxW2xTygw9odpL3CN,78SDW7heGxit6SoAb,8f5bHGL3Gkcgj3NW8,PKZzaPtkEa3y4NPFQ,ZRzioWPuiHwZJFHfj,2019-10-18T15:38:11Z
rMFETSe9NzTzqXETH,78SDW7heGxit6SoAb,vxXXsn3j7GZMbgPYo,PKZzaPtkEa3y4NPFQ,ZRzioWPuiHwZJFHfj,2019-10-18T15:38:11Z
ePwvoweZaxS2s2JBe,78SDW7heGxit6SoAb,72yHPgzqMCXs3g8KT,tcuWAR8LWhFp5C45y,wETDPjEqRGKdSQwKL,2019-10-18T15:49:28Z
pBCsK864u3bD7xeXx,78SDW7heGxit6SoAb,pWhTmRxDHQE7rXNrh,tcuWAR8LWhFp5C45y,wETDPjEqRGKdSQwKL,2019-10-18T15:49:28Z
