_id,batchId,playerId,stageId,roundId,gameId,createdAt,data.value
NvP5Dny7ZCFtGYejX,78SDW7heGxit6SoAb,643NocZe6kKQi2RLB,vfQtbZpC92Fcf7DE4,NbPTX8TY2BjZEeyoc,cFPZmehJzjefLEs6s,2019-10-18T14:07:03Z,
BvHM32DT6DjLchDyM,78SDW7heGxit6SoAb,QYF6zfw8sCJsrphia,vfQtbZpC92Fcf7DE4,NbPTX8TY2BjZEeyoc,cFPZmehJzjefLEs6s,2019-10-18T14:07:03Z,17
EoKRMbrx9qAyqfMvd,78SDW7heGxit6SoAb,643NocZe6kKQi2RLB,oLcMM2smdziXDjXTg,NbPTX8TY2BjZEeyoc,cFPZmehJzjefLEs6s,2019-10-18T14:07:03Z,
q8RsPdcZjn2T9BDH6,78SDW7heGxit6SoAb,QYF6zfw8sCJsrphia,oLcMM2smdziXDjXTg,NbPTX8TY2BjZEeyoc,cFPZmehJzjefLEs6s,2019-10-18T14:07:03Z,30
sJpxvs5oWPaKMTXkD,78SDW7heGxit6SoAb,643NocZe6kKQi2RLB,gYm6n7hF54pFiNdJg,NbPTX8TY2BjZEeyoc,cFPZmehJzjefLEs6s,2019-10-18T14:07:03Z,
jKCxDchcZ8qgSxxB4,78SDW7heGxit6SoAb,QYF6zfw8sCJsrphia,gYm6n7hF54pFiNdJg,NbPTX8TY2BjZEeyoc,cFPZmehJzjefLEs6s,2019-10-18T14:07:03Z,34
ABLojPRTbE3vtuivj,78SDW7heGxit6SoAb,643NocZe6kKQi2RLB,qLvytYgSY4NBekP7d,NbPTX8TY2BjZEeyoc,cFPZmehJzjefLEs6s,2019-10-18T14:07:03Z,
7wusTdE8bCTpFXZbT,78SDW7heGxit6SoAb,QYF6zfw8sCJsrphia,qLvytYgSY4NBekP7d,NbPTX8TY2BjZEeyoc,cFPZmehJzjefLEs6s,2019-10-18T14:07:03Z,33
iGowRsC6RboortwBD,78SDW7heGxit6SoAb,643NocZe6kKQi2RLB,8HZjafhGW8dgzL92a,NbPTX8TY2BjZEeyoc,cFPZmehJzjefLEs6s,2019-10-18T14:07:03Z,
Eb35qXjW3KgBBMfWc,78SDW7heGxit6SoAb,QYF6zfw8sCJsrphia,8HZjafhGW8dgzL92a,NbPTX8TY2BjZEeyoc,cFPZmehJzjefLEs6s,2019-10-18T14:07:03Z,36
ybCNFB2p5j3GPsgS5,78SDW7heGxit6SoAb,7MrjaoH5237seAJBM,JA2KyHusye9Jw8q9F,xH8iPe5fqYpZDnxHS,exxf67MJcoHz64TaN,2019-10-18T14:09:55Z,7
oTDWxhxDo4Dr2umge,78SDW7heGxit6SoAb,B3CB7fHfRxYfv5Cxj,JA2KyHusye9Jw8q9F,xH8iPe5fqYpZDnxHS,exxf67MJcoHz64TaN,2019-10-18T14:09:55Z,
sbfBm7pXaMb5rrtGu,78SDW7heGxit6SoAb,7MrjaoH5237seAJBM,K9SDBpdFMm5nN4hDt,xH8iPe5fqYpZDnxHS,exxf67MJcoHz64TaN,2019-10-18T14:09:55Z,11
LxYNEpmWiZNNLcJH2,78SDW7heGxit6SoAb,B3CB7fHfRxYfv5Cxj,K9SDBpdFMm5nN4hDt,xH8iPe5fqYpZDnxHS,exxf67MJcoHz64TaN,2019-10-18T14:09:55Z,
9kECW2ujZ2TWt3mEG,78SDW7heGxit6SoAb,7MrjaoH5237seAJBM,jTApWcSKGwP4htPvp,xH8iPe5fqYpZDnxHS,exxf67MJcoHz64TaN,2019-10-18T14:09:55Z,8
5oP2fPfieHGP859NT,78SDW7heGxit6SoAb,B3CB7fHfRxYfv5Cxj,jTApWcSKGwP4htPvp,xH8iPe5fqYpZDnxHS,exxf67MJcoHz64TaN,2019-10-18T14:09:55Z,
eLHN4DyP3X5HjNdxF,78SDW7heGxit6SoAb,7MrjaoH5237seAJBM,vFHEhAzbtyATznhrF,xH8iPe5fqYpZDnxHS,exxf67MJcoHz64TaN,2019-10-18T14:09:55Z,7
G9vtCa6RDgoZHskDd,78SDW7heGxit6SoAb,B3CB7fHfRxYfv5Cxj,vFHEhAzbtyATznhrF,xH8iPe5fqYpZDnxHS,exxf67MJcoHz64TaN,2019-10-18T14:09:55Z,
kjdmW2m5bgpJpxMaW,78SDW7heGxit6SoAb,7MrjaoH5237seAJBM,aAGxzeyZdozXiw2pb,xH8iPe5fqYpZDnxHS,exxf67MJcoHz64TaN,2019-10-18T14:09:55Z,9
xzAjWiHxQJR5AxZBM,78SDW7heGxit6SoAb,B3CB7fHfRxYfv5Cxj,aAGxzeyZdozXiw2pb,xH8iPe5fqYpZDnxHS,exxf67MJcoHz64TaN,2019-10-18T14:09:55Z,
cKGhi3xiSEiiRzLad,78SDW7heGxit6SoAb,cduGtdtRpKpdWyA5H,vrAphZe9osyNWZDLP,9SxPvrbQwCmtEmFcb,nZNKoymADKsHiCvAQ,2019-10-18T14:15:17Z,15
zFgJr2uMbPACyXPAu,78SDW7heGxit6SoAb,iFLjKiEt9eERKuS5d,vrAphZe9osyNWZDLP,9SxPvrbQwCmtEmFcb,nZNKoymADKsHiCvAQ,2019-10-18T14:15:17Z,
6gqctzyMTbDg6N3C5,78SDW7heGxit6SoAb,cduGtdtRpKpdWyA5H,hngZZRWBn8K6ub2MZ,9SxPvrbQwCmtEmFcb,nZNKoymADKsHiCvAQ,2019-10-18T14:15:17Z,25
QyhKnAP8aS34eekAi,78SDW7heGxit6SoAb,iFLjKiEt9eERKuS5d,hngZZRWBn8K6ub2MZ,9SxPvrbQwCmtEmFcb,nZNKoymADKsHiCvAQ,2019-10-18T14:15:17Z,
WDPLHLWXDAe6MKq5d,78SDW7heGxit6SoAb,cduGtdtRpKpdWyA5H,GCfkDL7F4NXg9nCKM,9SxPvrbQwCmtEmFcb,nZNKoymADKsHiCvAQ,2019-10-18T14:15:17Z,20
wdAWWQW3p7RkwEm6B,78SDW7heGxit6SoAb,iFLjKiEt9eERKuS5d,GCfkDL7F4NXg9nCKM,9SxPvrbQwCmtEmFcb,nZNKoymADKsHiCvAQ,2019-10-18T14:15:17Z,
ftSFWnRDWrXJrCRY8,78SDW7heGxit6SoAb,cduGtdtRpKpdWyA5H,xijgLL6cKb9ukzLRZ,9SxPvrbQwCmtEmFcb,nZNKoymADKsHiCvAQ,2019-10-18T14:15:18Z,40
c7LjSRXPzGaNmbsrE,78SDW7heGxit6SoAb,iFLjKiEt9eERKuS5d,xijgLL6cKb9ukzLRZ,9SxPvrbQwCmtEmFcb,nZNKoymADKsHiCvAQ,2019-10-18T14:15:18Z,
N4csFDxYrRnszBciX,78SDW7heGxit6SoAb,cduGtdtRpKpdWyA5H,aW8k63ShdkAPFe7WB,9SxPvrbQwCmtEmFcb,nZNKoymADKsHiCvAQ,2019-10-18T14:15:18Z,35
nGoYXecjFoGBosf4F,78SDW7heGxit6SoAb,iFLjKiEt9eERKuS5d,aW8k63ShdkAPFe7WB,9SxPvrbQwCmtEmFcb,nZNKoymADKsHiCvAQ,2019-10-18T14:15:18Z,
Y4ACuyQnJYNo5it7W,78SDW7heGxit6SoAb,SXjBs9pxHeBa2jtE9,hBMsm98FZQ8Etb4pM,jNBPyhu22fsQh99hE,GwxRNDzWZNzrPJ6bp,2019-10-18T14:23:21Z,
QnjWQv8RnbdGBt6GX,78SDW7heGxit6SoAb,ne85Hd6LmrRqMENJo,hBMsm98FZQ8Etb4pM,jNBPyhu22fsQh99hE,GwxRNDzWZNzrPJ6bp,2019-10-18T14:23:21Z,
AJvAfRqmkwtsH7FMT,78SDW7heGxit6SoAb,SXjBs9pxHeBa2jtE9,etMTxu6cRCc5rdjMR,jNBPyhu22fsQh99hE,GwxRNDzWZNzrPJ6bp,2019-10-18T14:23:21Z,
YQYiAFqNAgMSzokME,78SDW7heGxit6SoAb,ne85Hd6LmrRqMENJo,etMTxu6cRCc5rdjMR,jNBPyhu22fsQh99hE,GwxRNDzWZNzrPJ6bp,2019-10-18T14:23:21Z,61
cqjdgKbEwpvfpyB5B,78SDW7heGxit6SoAb,SXjBs9pxHeBa2jtE9,f8ySgoar6MbKokasz,jNBPyhu22fsQh99hE,GwxRNDzWZNzrPJ6bp,2019-10-18T14:23:22Z,
opHLL2kpWCHFurFfM,78SDW7heGxit6SoAb,ne85Hd6LmrRqMENJo,f8ySgoar6MbKokasz,jNBPyhu22fsQh99hE,GwxRNDzWZNzrPJ6bp,2019-10-18T14:23:22Z,65
rTTNZqQk4ww7HBath,78SDW7heGxit6SoAb,SXjBs9pxHeBa2jtE9,f5j2azPf7dAigoXhR,jNBPyhu22fsQh99hE,GwxRNDzWZNzrPJ6bp,2019-10-18T14:23:22Z,
3rewcbTAJ8ZSz7ojc,78SDW7heGxit6SoAb,ne85Hd6LmrRqMENJo,f5j2azPf7dAigoXhR,jNBPyhu22fsQh99hE,GwxRNDzWZNzrPJ6bp,2019-10-18T14:23:22Z,67
