_id,id,urlParams,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,retiredAt,retiredReason,createdAt,data.political_affiliation,data.avatar,data.neighbor_ids,data.responses,data.response0TimeAt,data.response0,data.response1TimeAt,data.response1,data.response2TimeAt,data.response2,data.response3TimeAt,data.response3,data.response4TimeAt,data.response4,data.total_reward,data.base_reward,data.bonus,data.made_submission,data.age,data.education,data.gender,data.instruction_first_guess,data.instruction_second_guess,data.article,data.mile,data.stone,data.years,data.last_response0,data.last_response1,data.last_response2,data.last_response3,data.last_response4,data.other_player_party,data.knowledge,data.senate,data.state,data.american,data.neighborhood,data.democrats,data.republicans,data.determined,data.attentive,data.alert,data.inspired,data.active,data.afraid,data.nervous,data.upset,data.ashamed,data.hostile,data.american_feel,data.texan_feel,data.democrats_feel,data.californians_feel,data.chinese_feel,data.republicans_feel,data.clarity,data.fairness,data.lookup,data.familiarity,data.feedback,data.province,data.official,data.city,data.champion,data.hotdog,data.boston,data.last_responses,data.russians_feel,data.iranians_feel
MTKJGpuukonWH3E5P,r4HQNTtxRisq6FiZY,{},Bob,2019-10-17T23:51:17Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:17Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HaojzKemaQhTjHwna,Abm42fsCd4YDdFboh,{},Bob,2019-10-17T23:51:17Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:17Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uGxyaPdA8FT9zyxKW,8qeCXwoqARMaCYWQi,{},Bob,2019-10-17T23:51:17Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:17Z,republican,republican.png,S3NXwG42Wvnstguk4,"60,50,44,37,30",2019-10-18T20:53:22.473Z,60,2019-10-18T20:53:30.274Z,50,2019-10-18T20:53:43.287Z,44,2019-10-18T20:53:57.675Z,37,2019-10-18T20:54:08.872Z,30,3,2,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpP9gCKWuzccdfYny,P6tgjFpDQz6L2xPpc,{},Bob,2019-10-17T23:51:17Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:17Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dAR5NNg2LcAEQGJtm,ZSwMeCHExBsRGYboP,{},Bob,2019-10-17T23:51:17Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:17Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKthnCz95foXQHFMy,oA66kyxrKv4XNEo3h,{},Bob,2019-10-17T23:51:17Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:17Z,republican,republican.png,DE3Puwso5NfJ84F5t,"95,95,95,95,95",2019-10-18T14:28:18.088Z,95,2019-10-18T14:28:40.192Z,95,2019-10-18T14:28:58.475Z,95,2019-10-18T14:29:07.575Z,95,2019-10-18T14:29:16.877Z,95,3,2,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nRFczCqRePZ74CW2S,QxpBtXf5Y8g2gT8kH,{},Bob,2019-10-17T23:51:18Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:18Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
virWRHfLjCEkKoXsr,F2RBDfyMZoNgyagjD,{},Bob,2019-10-17T23:51:18Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:18Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fbajNGthy7ayvuCRT,k8feAS5YffjQJML5B,{},Bob,2019-10-17T23:51:18Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:18Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aXGtWsz9iaGPFyhEG,5zHB6qebduvT4BTG2,{},Bob,2019-10-17T23:51:18Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:18Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
