_id,index,stageIds,gameId,createdAt
NbPTX8TY2BjZEeyoc,0,"vfQtbZpC92Fcf7DE4,oLcMM2smdziXDjXTg,gYm6n7hF54pFiNdJg,qLvytYgSY4NBekP7d,8HZjafhGW8dgzL92a",cFPZmehJzjefLEs6s,2019-10-18T14:07:03Z
xH8iPe5fqYpZDnxHS,0,"JA2KyHusye9Jw8q9F,K9SDBpdFMm5nN4hDt,jTApWcSKGwP4htPvp,vFHEhAzbtyATznhrF,aAGxzeyZdozXiw2pb",exxf67MJcoHz64TaN,2019-10-18T14:09:55Z
9SxPvrbQwCmtEmFcb,0,"vrAphZe9osyNWZDLP,hngZZRWBn8K6ub2MZ,GCfkDL7F4NXg9nCKM,xijgLL6cKb9ukzLRZ,aW8k63ShdkAPFe7WB",nZNKoymADKsHiCvAQ,2019-10-18T14:15:17Z
jNBPyhu22fsQh99hE,0,"hBMsm98FZQ8Etb4pM,etMTxu6cRCc5rdjMR,f8ySgoar6MbKokasz,f5j2azPf7dAigoXhR,KvtjnyLHNDHA4eH5g",GwxRNDzWZNzrPJ6bp,2019-10-18T14:23:21Z
H7GRmWFuCnZgAQcsp,0,"pTd7azNv7B27ZMbgB,4ZJhhzHhPymfXcQxm,YpXJgDDrkXhqTHWRc,6hmQfNLhHsHYdB3ga,zqejYmyzbuSr7Q3Aw",T5pnyz7zaZiY5LfpF,2019-10-18T14:28:02Z
X8Gs9jsukXZQaMHkC,0,"SmmDeo3qfDEd2Xd2N,mEC59qDqYacsXCCRS,DY8aY2P5R27Gzhdrx,TzM8wcvhX6G97MHcQ,ExDkyvDGgERz9toGs",3nTYgsFo9QhJwNRfQ,2019-10-18T14:48:23Z
uom6k4yfeAWpuGiKq,0,"rXcxasEevgxhciYqe,gZFi9XS2SSPdcycKs,ocFiigw4etmTz2CZz,Q2nuJeWiWpHtzdJda,4DhBpYsTD3bmcqBqY",hxnpyEJCcjBpQQHfG,2019-10-18T14:49:35Z
4adairdDobHuy6LsQ,0,"ir2jNZvk9L9n4gQkP,sPYMrnWztAgazrBM9,sEhTbgoBTBfRmZoHD,9gfMjbECenBPsmzWX,a9axCo3WjxFqe7v7A",HyyHF6N9LdHAccKWk,2019-10-18T15:15:28Z
TyftxXESrPSLwLsJ9,0,"arvgpTboxSnmaLzAB,QFobTusRRNwLPkWMQ,yNc7EXxRTK4gKWFMS,uJ5qyQRXby6dM3XM5,RXnbJ3KopLyKPZPnH",yHtCfWRbuQwW2Lbkn,2019-10-18T15:17:29Z
xrQnzrSJ5R2QoBrGW,0,"YHk555jR7JrpPEqPZ,vntJbvnHiuLoZQ5er,YxXA5LTGTHrEg7QmF,z6pLua4ZXMoNpY3Sz,JFAD3hBhe7PK6xPSx",9uJeFbTnGa9vwAgcr,2019-10-18T15:20:45Z
trPGczXoJevbyfzzg,0,"4Y4aZhoe52z3eB8q5,98zMspAx8JqyeproK,EGQbjWdssuL7kbtrN,Y6q6EEfnCQKtx3a6J,iWBfaaevrZNc5mWK4",ZXEopSwxacjWc7FLy,2019-10-18T15:30:59Z
Qf7sSCWefHnt3MMET,0,"Q6Y9Yo5QXxbrWc594,rSTzRjmv6AoHgGHLN,FY8v5NPAvYgt2Bkrb,zKbcky3p8XipeCYnT,pfb9jzmiCoK8gMkHP",6QLp7YFe3QAr5BAZg,2019-10-18T15:33:08Z
PKZzaPtkEa3y4NPFQ,0,"wJeYs8qkDnrhdknYy,pFKgB783P2SD6BJuz,AmDHrrhdWJEXdD683,cekBwWpPibdrvvt9r,XMn8zSF3xKduFsmTX",ZRzioWPuiHwZJFHfj,2019-10-18T15:38:11Z
tcuWAR8LWhFp5C45y,0,"itrjxRB2EDGAZmeCn,4Q5L8A2KHGJ5XSxBW,Kz3eE6jLiKsxwoR4L,GzxxjsE8BagNqXSGx,ZvFGxNzxqugXKiEDy",wETDPjEqRGKdSQwKL,2019-10-18T15:49:28Z
inYAqHoTKyhR2YSNs,0,"4KSwupybssNiAqAYM,p42YkBmF82LwFQrcd,BczQvsrXkThh4yhdh,ZgZn2uxb848MppsE5,Ej9W653Js8RX8P2Mp",hjF8myqsJCBknSZRA,2019-10-18T16:09:51Z
9C7AYX8qzr5Szjofu,0,"L36XaYqsCf5oYvtyQ,m4BnrhTJTf6xsDxRY,pPReYK79csFEaYk8h,wngdhzgt4z8BDDy4h,o3w5Cvfq6dZ2fyN9D",4Sicwdg25vBXXM6xB,2019-10-18T16:17:06Z
opENWRFnmbh9eEoAP,0,"iwX965z5yYaodX7Wy,3EvQ3yXckWWeNKDJQ,FFG2NRPhRhQmbr8Fh,jkS8C8qLAJNFmZdK4,o5EMHaSDsddwXx4a9",ZK6ddJrPz2ahXk7Lj,2019-10-18T16:30:33Z
