_id,index,name,displayName,startTimeAt,durationInSeconds,roundId,gameId,createdAt
vfQtbZpC92Fcf7DE4,0,individual,First Stage (Individual),2019-10-18T14:07:04Z,30,NbPTX8TY2BjZEeyoc,cFPZmehJzjefLEs6s,2019-10-18T14:07:03Z
oLcMM2smdziXDjXTg,1,group1,Second Stage (Group),2019-10-18T14:07:25Z,15,NbPTX8TY2BjZEeyoc,cFPZmehJzjefLEs6s,2019-10-18T14:07:03Z
gYm6n7hF54pFiNdJg,2,group2,Third Stage (Group),2019-10-18T14:07:41Z,15,NbPTX8TY2BjZEeyoc,cFPZmehJzjefLEs6s,2019-10-18T14:07:03Z
qLvytYgSY4NBekP7d,3,group3,Fourth Stage (Group),2019-10-18T14:07:49Z,15,NbPTX8TY2BjZEeyoc,cFPZmehJzjefLEs6s,2019-10-18T14:07:03Z
8HZjafhGW8dgzL92a,4,group4,Fifth Stage (Group),2019-10-18T14:07:58Z,15,NbPTX8TY2BjZEeyoc,cFPZmehJzjefLEs6s,2019-10-18T14:07:03Z
JA2KyHusye9Jw8q9F,0,individual,First Stage (Individual),2019-10-18T14:09:56Z,30,xH8iPe5fqYpZDnxHS,exxf67MJcoHz64TaN,2019-10-18T14:09:55Z
K9SDBpdFMm5nN4hDt,1,group1,Second Stage (Group),2019-10-18T14:10:20Z,15,xH8iPe5fqYpZDnxHS,exxf67MJcoHz64TaN,2019-10-18T14:09:55Z
jTApWcSKGwP4htPvp,2,group2,Third Stage (Group),2019-10-18T14:10:32Z,15,xH8iPe5fqYpZDnxHS,exxf67MJcoHz64TaN,2019-10-18T14:09:55Z
vFHEhAzbtyATznhrF,3,group3,Fourth Stage (Group),2019-10-18T14:10:45Z,15,xH8iPe5fqYpZDnxHS,exxf67MJcoHz64TaN,2019-10-18T14:09:55Z
aAGxzeyZdozXiw2pb,4,group4,Fifth Stage (Group),2019-10-18T14:10:57Z,15,xH8iPe5fqYpZDnxHS,exxf67MJcoHz64TaN,2019-10-18T14:09:55Z
vrAphZe9osyNWZDLP,0,individual,First Stage (Individual),2019-10-18T14:15:18Z,30,9SxPvrbQwCmtEmFcb,nZNKoymADKsHiCvAQ,2019-10-18T14:15:17Z
hngZZRWBn8K6ub2MZ,1,group1,Second Stage (Group),2019-10-18T14:15:40Z,15,9SxPvrbQwCmtEmFcb,nZNKoymADKsHiCvAQ,2019-10-18T14:15:17Z
GCfkDL7F4NXg9nCKM,2,group2,Third Stage (Group),2019-10-18T14:15:51Z,15,9SxPvrbQwCmtEmFcb,nZNKoymADKsHiCvAQ,2019-10-18T14:15:17Z
xijgLL6cKb9ukzLRZ,3,group3,Fourth Stage (Group),2019-10-18T14:16:00Z,15,9SxPvrbQwCmtEmFcb,nZNKoymADKsHiCvAQ,2019-10-18T14:15:18Z
aW8k63ShdkAPFe7WB,4,group4,Fifth Stage (Group),2019-10-18T14:16:11Z,15,9SxPvrbQwCmtEmFcb,nZNKoymADKsHiCvAQ,2019-10-18T14:15:18Z
hBMsm98FZQ8Etb4pM,0,individual,First Stage (Individual),2019-10-18T14:23:23Z,30,jNBPyhu22fsQh99hE,GwxRNDzWZNzrPJ6bp,2019-10-18T14:23:21Z
etMTxu6cRCc5rdjMR,1,group1,Second Stage (Group),2019-10-18T14:23:54Z,15,jNBPyhu22fsQh99hE,GwxRNDzWZNzrPJ6bp,2019-10-18T14:23:21Z
f8ySgoar6MbKokasz,2,group2,Third Stage (Group),2019-10-18T14:24:04Z,15,jNBPyhu22fsQh99hE,GwxRNDzWZNzrPJ6bp,2019-10-18T14:23:22Z
f5j2azPf7dAigoXhR,3,group3,Fourth Stage (Group),2019-10-18T14:24:17Z,15,jNBPyhu22fsQh99hE,GwxRNDzWZNzrPJ6bp,2019-10-18T14:23:22Z
KvtjnyLHNDHA4eH5g,4,group4,Fifth Stage (Group),2019-10-18T14:24:31Z,15,jNBPyhu22fsQh99hE,GwxRNDzWZNzrPJ6bp,2019-10-18T14:23:22Z
