_id,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,retiredAt,retiredReason,createdAt,data.political_affiliation,data.avatar,data.neighbor_ids,data.responses,data.response0TimeAt,data.response0,data.response1TimeAt,data.response1,data.response2TimeAt,data.response2,data.response3TimeAt,data.response3,data.response4TimeAt,data.response4,data.total_reward,data.base_reward,data.bonus,data.made_submission,data.age,data.education,data.gender,data.instruction_first_guess,data.instruction_second_guess,data.article,data.boston,data.hotdog,data.champion,data.last_response0,data.last_response1,data.last_response2,data.last_response3,data.last_response4,data.senate,data.other_player_party,data.knowledge,data.american,data.state,data.neighborhood,data.democrats,data.republicans,data.determined,data.attentive,data.alert,data.inspired,data.active,data.afraid,data.nervous,data.upset,data.ashamed,data.hostile,data.american_feel,data.texan_feel,data.democrats_feel,data.californians_feel,data.chinese_feel,data.republicans_feel,data.clarity,data.fairness,data.lookup,data.familiarity,data.feedback,data.province,data.official,data.city,data.years,data.stone,data.mile,data.last_responses,data.iranians_feel,data.russians_feel
hg6WYYKvNZQZbcLvx,Bob,2019-10-17T23:52:18Z,,,,2019-10-19T18:41:04Z,gameCancelled,,,2019-10-17T23:52:18Z,democrat,democrat.png,EwQmkknXjjKx2ya2m,"36,36,36,36,36",2019-10-18T14:23:34.727Z,36.0,2019-10-18T14:23:59.697Z,36.0,2019-10-18T14:24:10.895Z,36.0,2019-10-18T14:24:30.113Z,36.0,2019-10-18T14:24:46.793Z,36.0,3.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dM22G9XwCJ2mdmJMt,Bob,2019-10-17T23:52:18Z,,,,2019-10-19T18:41:04Z,gameCancelled,,,2019-10-17T23:52:18Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TT4E7CuuiTHHBKC7y,Bob,2019-10-17T23:52:18Z,,,,2019-10-19T18:41:04Z,gameCancelled,,,2019-10-17T23:52:18Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nBZ2hfoNtmoS3Xh8x,Bob,2019-10-17T23:52:18Z,,,,2019-10-19T18:41:04Z,gameCancelled,,,2019-10-17T23:52:18Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8rMgEBHYD9rLHz22P,Bob,2019-10-17T23:52:18Z,,,,2019-10-19T18:41:04Z,gameCancelled,,,2019-10-17T23:52:18Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eWGxxoExw9eHZPctS,Bob,2019-10-17T23:52:19Z,,,,2019-10-19T18:41:04Z,gameCancelled,,,2019-10-17T23:52:19Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4o33QDPSgi8N6xZtL,Bob,2019-10-17T23:52:19Z,,,,2019-10-19T18:41:04Z,gameCancelled,,,2019-10-17T23:52:19Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mKC4YahzJbnFRjMD3,Bob,2019-10-17T23:52:19Z,,,,2019-10-19T18:41:04Z,gameCancelled,,,2019-10-17T23:52:19Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stRLD8hqgq6HwufkZ,Bob,2019-10-17T23:52:19Z,,,,2019-10-19T18:41:04Z,gameCancelled,,,2019-10-17T23:52:19Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d3otwuNrFToAhkQgT,Bob,2019-10-17T23:52:19Z,,,,2019-10-19T18:41:04Z,gameCancelled,,,2019-10-17T23:52:19Z,democrat,democrat.png,WK8vWTNf6xZvEoJP3,"55,44,37,33,31",2019-10-19T00:46:06.805Z,55.0,2019-10-19T00:46:28.295Z,44.0,2019-10-19T00:46:35.998Z,37.0,2019-10-19T00:46:46.903Z,33.0,2019-10-19T00:46:55.911Z,31.0,3.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LZhD2jMkfvbiySPDn,Bob,2019-10-17T23:52:19Z,,,,2019-10-19T18:41:04Z,gameCancelled,,,2019-10-17T23:52:19Z,democrat,democrat.png,9sedhoXCoJHirxS4Z,"97,97,97,97,97",2019-10-18T20:41:30.021Z,97.0,2019-10-18T20:41:37.841Z,97.0,2019-10-18T20:41:52.896Z,97.0,2019-10-18T20:42:03.120Z,97.0,2019-10-18T20:42:15.203Z,97.0,3.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iMMY5tLwez8AqB8jP,Bob,2019-10-17T23:52:20Z,,,,2019-10-19T18:41:04Z,gameCancelled,,,2019-10-17T23:52:20Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zLbCoTBbizsiQM4ch,Bob,2019-10-17T23:52:20Z,,,,2019-10-19T18:41:04Z,gameCancelled,,,2019-10-17T23:52:20Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtx6mEKgBiTBkoHnW,Bob,2019-10-17T23:52:20Z,,,,2019-10-19T18:41:04Z,gameCancelled,,,2019-10-17T23:52:20Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zs7BRkD7kmAL5aYx2,Bob,2019-10-17T23:52:20Z,,,,2019-10-19T18:41:04Z,gameCancelled,,,2019-10-17T23:52:20Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GwDgK7ZyWRemACeJ9,Bob,2019-10-17T23:52:20Z,,,,2019-10-19T18:41:04Z,gameCancelled,,,2019-10-17T23:52:20Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
icD5gbfQEbZYLxD2o,Bob,2019-10-17T23:52:20Z,,,,2019-10-19T18:41:04Z,gameCancelled,,,2019-10-17T23:52:20Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zp8ihYun3iDrMZ7h4,Bob,2019-10-17T23:52:20Z,,,,2019-10-19T18:41:04Z,gameCancelled,,,2019-10-17T23:52:20Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XX39zLuaQy8CKrXeG,Bob,2019-10-17T23:52:20Z,,,,2019-10-19T18:41:04Z,gameCancelled,,,2019-10-17T23:52:20Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RebKmDsxrZv2GRk2m,Bob,2019-10-17T23:52:21Z,,,,2019-10-19T18:41:04Z,gameCancelled,,,2019-10-17T23:52:21Z,democrat,democrat.png,PSTqR8ZfgHsFYYkPq,"39,39,39,39,39",2019-10-18T15:52:54.299Z,39.0,2019-10-18T15:53:21.653Z,39.0,2019-10-18T15:53:36.443Z,39.0,2019-10-18T15:53:44.444Z,39.0,2019-10-18T15:54:00.300Z,39.0,3.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6Q4FvDsAExpSFo4qY,Bob,2019-10-17T23:52:21Z,,,,2019-10-19T18:41:04Z,gameCancelled,,,2019-10-17T23:52:21Z,democrat,democrat.png,KPnJSFxXBBBeCcJwe,"62,45,34,25,18",2019-10-18T15:03:21.611Z,62.0,2019-10-18T15:03:33.919Z,45.0,2019-10-18T15:03:44.503Z,34.0,2019-10-18T15:03:54.320Z,25.0,2019-10-18T15:04:06.193Z,18.0,3.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANWhGBZg6ZzewR6hG,Bob,2019-10-17T23:52:21Z,,,,2019-10-19T18:41:04Z,gameCancelled,,,2019-10-17T23:52:21Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dnLiz4pofe7z9nL4u,Bob,2019-10-17T23:52:21Z,,,,2019-10-19T18:41:04Z,gameCancelled,,,2019-10-17T23:52:21Z,democrat,democrat.png,QhmGyB9MzPWGnzz7G,"79,65,55,46,42",2019-10-18T18:06:50.595Z,79.0,2019-10-18T18:07:07.697Z,65.0,2019-10-18T18:07:20.033Z,55.0,2019-10-18T18:07:31.092Z,46.0,2019-10-18T18:07:41.308Z,42.0,3.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W3wC6NFoTh4ncBPDY,Bob,2019-10-17T23:52:21Z,,,,2019-10-19T18:41:04Z,gameCancelled,,,2019-10-17T23:52:21Z,democrat,democrat.png,Z4Y3APnEGPrh35Kip,"57,47,37,32,29",2019-10-18T21:10:25.109Z,57.0,2019-10-18T21:10:45.294Z,47.0,2019-10-18T21:10:56.326Z,37.0,2019-10-18T21:11:10.037Z,32.0,2019-10-18T21:11:20.026Z,29.0,3.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bNZHEykke9vKEEhjb,Bob,2019-10-17T23:52:21Z,,,,2019-10-19T18:41:04Z,gameCancelled,,,2019-10-17T23:52:21Z,democrat,democrat.png,2LL7u58suvCrMJCFc,"66,66,66,66,66",2019-10-19T01:44:40.708Z,66.0,2019-10-19T01:44:53.812Z,66.0,2019-10-19T01:44:59.110Z,66.0,2019-10-19T01:45:21.722Z,66.0,2019-10-19T01:45:28.703Z,66.0,3.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ohvKzqkvcfo6n9vcB,Bob,2019-10-17T23:52:21Z,,,,2019-10-19T18:41:04Z,gameCancelled,,,2019-10-17T23:52:21Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T5oNmtfY6ELMXcjmv,Bob,2019-10-17T23:52:21Z,,,,2019-10-19T18:41:04Z,gameCancelled,,,2019-10-17T23:52:21Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
