_id,name,value,factorTypeId,createdAt
ru8FTrHrAiQZxeft6,solo,1,4aPZzNimAHPR8JvP7,2019-04-27T22:55:00Z
Xet22qJkWxTg5sRzh,double,2,4aPZzNimAHPR8JvP7,2019-04-27T22:55:00Z
6cDZiQuM8cuBXsrtY,group,10,4aPZzNimAHPR8JvP7,2019-04-27T22:55:00Z
j8cPe5ciqqxJx3Zt5,apolitical,1,WgxoewtvrWNpFyqW8,2019-04-27T22:55:00Z
LYCoEdT4Gk2bAnC7T,patriotic,2,WgxoewtvrWNpFyqW8,2019-04-27T22:55:00Z
vjqusSNNvCjkWyrLB,enemy,3,WgxoewtvrWNpFyqW8,2019-04-27T22:55:00Z
nfGimgFnsTynnyzCd,none,0,WqrRhvkhzk76HB6fq,2019-04-27T22:55:00Z
iC2a2adCZBF2c3FXb,single,1,WqrRhvkhzk76HB6fq,2019-04-27T22:55:00Z
DxEXwiPtBbYR89nke,democrat,democrat,iMnQbX3kYzW3rfaX7,2019-04-27T22:55:00Z
pZq5F2SoZ9MWdmuLf,republican,republican,iMnQbX3kYzW3rfaX7,2019-04-27T22:55:00Z
5sJpsMqm6EzCxz9mG,majority,majority,iMnQbX3kYzW3rfaX7,2019-04-27T22:55:00Z
EXnaBFWgrhiz2zkdD,player_opposite_party,opposite,iMnQbX3kYzW3rfaX7,2019-04-27T22:55:00Z
ytjmB9t5TSqXyodpT,player_same_party,same,iMnQbX3kYzW3rfaX7,2019-04-27T22:55:00Z
H8FQh7PAuzdWELdgm,stubborn,stubborn,33dr7jPuxT4Gton5P,2019-04-27T22:55:00Z
eM5jDahLcbrv9Pu4i,friendly,friendly,33dr7jPuxT4Gton5P,2019-04-27T22:55:00Z
yjKgRNSFAF2BjhnTm,hostile,hostile,33dr7jPuxT4Gton5P,2019-04-27T22:55:00Z
