_id,index,availableCount,timeoutStartedAt,timedOutAt,queuedPlayerIds,playerIds,gameId,treatmentId,batchId,lobbyConfigId,createdAt
kjmSo6SPnBxQKNpi4,0,2,2019-10-18T14:23:19Z,,"hg6WYYKvNZQZbcLvx,EwQmkknXjjKx2ya2m","hg6WYYKvNZQZbcLvx,EwQmkknXjjKx2ya2m",bE6zpN6kSNaJQSEyB,KcFn7nMZ58i8SCsPG,FawEjsjhNeQBadWYK,oeE5fG29WnJjYc5b4,2019-10-17T23:52:18Z
hNqCDNwDaxf9oyEjq,1,2,,,dM22G9XwCJ2mdmJMt,dM22G9XwCJ2mdmJMt,,KcFn7nMZ58i8SCsPG,FawEjsjhNeQBadWYK,oeE5fG29WnJjYc5b4,2019-10-17T23:52:18Z
cmQh5vczPob7eCnC2,2,2,,,TT4E7CuuiTHHBKC7y,TT4E7CuuiTHHBKC7y,,8XGQKbXaFSSv9imzz,FawEjsjhNeQBadWYK,oeE5fG29WnJjYc5b4,2019-10-17T23:52:18Z
ob3iwftsxN3TBNhyR,3,2,,,nBZ2hfoNtmoS3Xh8x,nBZ2hfoNtmoS3Xh8x,,9jP2Zvk4BSt8Ds7NQ,FawEjsjhNeQBadWYK,oeE5fG29WnJjYc5b4,2019-10-17T23:52:18Z
ArPXbjHG6enCK3fqW,4,2,,,8rMgEBHYD9rLHz22P,8rMgEBHYD9rLHz22P,,D9L4uoyXa3NFnFjed,FawEjsjhNeQBadWYK,oeE5fG29WnJjYc5b4,2019-10-17T23:52:18Z
8B8bpLPbZx2nQfGeu,5,2,,,eWGxxoExw9eHZPctS,eWGxxoExw9eHZPctS,,ABJe2EfBNfvLwPM2L,FawEjsjhNeQBadWYK,oeE5fG29WnJjYc5b4,2019-10-17T23:52:19Z
yKtpsjJvQRQjdvbMd,6,2,,,4o33QDPSgi8N6xZtL,4o33QDPSgi8N6xZtL,,KcFn7nMZ58i8SCsPG,FawEjsjhNeQBadWYK,oeE5fG29WnJjYc5b4,2019-10-17T23:52:19Z
45ANM3tBqvjfLFdvC,7,2,,,mKC4YahzJbnFRjMD3,mKC4YahzJbnFRjMD3,,ABJe2EfBNfvLwPM2L,FawEjsjhNeQBadWYK,oeE5fG29WnJjYc5b4,2019-10-17T23:52:19Z
PTvDS9JP2cJTEWF9C,8,2,,,"stRLD8hqgq6HwufkZ,yB69XPxnESD3MMYTE",stRLD8hqgq6HwufkZ,,ABJe2EfBNfvLwPM2L,FawEjsjhNeQBadWYK,oeE5fG29WnJjYc5b4,2019-10-17T23:52:19Z
8BZvThFrBMAR7eAYh,9,2,2019-10-19T00:45:49Z,,"d3otwuNrFToAhkQgT,WK8vWTNf6xZvEoJP3","d3otwuNrFToAhkQgT,WK8vWTNf6xZvEoJP3",38uAjSBEb2Eb4xRTH,D9L4uoyXa3NFnFjed,FawEjsjhNeQBadWYK,oeE5fG29WnJjYc5b4,2019-10-17T23:52:19Z
Qhi4tvEHeJNDg23nb,10,2,2019-10-18T20:41:12Z,,"LZhD2jMkfvbiySPDn,9sedhoXCoJHirxS4Z","LZhD2jMkfvbiySPDn,9sedhoXCoJHirxS4Z",bm3W6aQaSbkoqNeWm,9jP2Zvk4BSt8Ds7NQ,FawEjsjhNeQBadWYK,oeE5fG29WnJjYc5b4,2019-10-17T23:52:19Z
WhKophBsk3MLahipb,11,2,,,iMMY5tLwez8AqB8jP,iMMY5tLwez8AqB8jP,,D9L4uoyXa3NFnFjed,FawEjsjhNeQBadWYK,oeE5fG29WnJjYc5b4,2019-10-17T23:52:20Z
GZ52eJzCAT3PaQHSF,12,2,,,zLbCoTBbizsiQM4ch,zLbCoTBbizsiQM4ch,,8XGQKbXaFSSv9imzz,FawEjsjhNeQBadWYK,oeE5fG29WnJjYc5b4,2019-10-17T23:52:20Z
YAePWaJfbdYGT2HBX,13,2,,,Qtx6mEKgBiTBkoHnW,Qtx6mEKgBiTBkoHnW,,ABJe2EfBNfvLwPM2L,FawEjsjhNeQBadWYK,oeE5fG29WnJjYc5b4,2019-10-17T23:52:20Z
nbzC89rj7jbhBriZH,14,2,,,Zs7BRkD7kmAL5aYx2,Zs7BRkD7kmAL5aYx2,,ABJe2EfBNfvLwPM2L,FawEjsjhNeQBadWYK,oeE5fG29WnJjYc5b4,2019-10-17T23:52:20Z
f52D827WJSHxGhGKR,15,2,,,GwDgK7ZyWRemACeJ9,GwDgK7ZyWRemACeJ9,,D9L4uoyXa3NFnFjed,FawEjsjhNeQBadWYK,oeE5fG29WnJjYc5b4,2019-10-17T23:52:20Z
GiLQfZ93GPA6gf4Aa,16,2,,,icD5gbfQEbZYLxD2o,icD5gbfQEbZYLxD2o,,D9L4uoyXa3NFnFjed,FawEjsjhNeQBadWYK,oeE5fG29WnJjYc5b4,2019-10-17T23:52:20Z
XLCKQnmFRSjHwdoFW,17,2,,,zp8ihYun3iDrMZ7h4,zp8ihYun3iDrMZ7h4,,D9L4uoyXa3NFnFjed,FawEjsjhNeQBadWYK,oeE5fG29WnJjYc5b4,2019-10-17T23:52:20Z
hZBEx3YabcKJP2Kt8,18,2,,,XX39zLuaQy8CKrXeG,XX39zLuaQy8CKrXeG,,9jP2Zvk4BSt8Ds7NQ,FawEjsjhNeQBadWYK,oeE5fG29WnJjYc5b4,2019-10-17T23:52:20Z
RQxyqxacD2TX7FjzD,19,2,2019-10-18T15:52:39Z,,"RebKmDsxrZv2GRk2m,PSTqR8ZfgHsFYYkPq","RebKmDsxrZv2GRk2m,PSTqR8ZfgHsFYYkPq",jFtiMBqNzYqHWAHpt,hgAeXXWQ6JuC3KyNM,FawEjsjhNeQBadWYK,oeE5fG29WnJjYc5b4,2019-10-17T23:52:21Z
PCNyQksKb6zXMr5oq,20,2,2019-10-18T15:03:00Z,,"6Q4FvDsAExpSFo4qY,KPnJSFxXBBBeCcJwe","6Q4FvDsAExpSFo4qY,KPnJSFxXBBBeCcJwe",v93XurhoMvuvjgeQP,D9L4uoyXa3NFnFjed,FawEjsjhNeQBadWYK,oeE5fG29WnJjYc5b4,2019-10-17T23:52:21Z
