_id,finishedAt,gameLobbyId,treatmentId,roundIds,playerIds,batchId,createdAt
cRhDBpo84q3RMYHgf,2019-10-18T14:08:28Z,EduYRQpM8chsA6qHX,ABJe2EfBNfvLwPM2L,h4WJQ9typS7QFCFJA,"X3bF2JWuqbsp6H5Fs,vv4zwiZh59QR2dBrY",FawEjsjhNeQBadWYK,2019-10-18T14:06:49Z
NL592736fWp4KS94a,2019-10-18T14:12:24Z,9xn2phHuq9j7evCg3,ABJe2EfBNfvLwPM2L,Bjbgn42vmDvAdqESv,"MFXDxHmz8ML7BYQuX,NkaCup8zoviMbFdBL",FawEjsjhNeQBadWYK,2019-10-18T14:11:01Z
iWnMt5qKNuWSQxvgF,2019-10-18T14:12:42Z,qAczoJSuGoMQqBhkf,8XGQKbXaFSSv9imzz,4wnJat5xk6DSc3QEM,"gsw4PQgArWB6HPsz7,p57Yoqywkve3wp5wF",FawEjsjhNeQBadWYK,2019-10-18T14:11:16Z
3X2WZDNdCeitL9yMZ,2019-10-18T14:12:45Z,JA9ugDaJSc3Fg3Fqa,8XGQKbXaFSSv9imzz,mkNFZXfrq9YfyjSbY,"WKvvmtj8GS4seCahr,e2o6PZpWNBo3ZMHt5",FawEjsjhNeQBadWYK,2019-10-18T14:11:32Z
yEPtksh5cXS9BSo9G,2019-10-18T14:15:16Z,2vGYbmCJYSMQkioHB,KcFn7nMZ58i8SCsPG,RuAvnCaBeCCEkGg3M,"NmTGTA8X5x4AQdoQ7,qwtBPyuDb8zGcKZg3",FawEjsjhNeQBadWYK,2019-10-18T14:13:40Z
GtpYaNsNv5NihNspG,2019-10-18T14:17:17Z,jGe9R35pB6BtCK3ZH,hgAeXXWQ6JuC3KyNM,CjWJru4DR4YZH2qP7,"BWuCCstjzXqGvhik9,wsBkAC4yRA7ySreHx",FawEjsjhNeQBadWYK,2019-10-18T14:16:06Z
v47b8gwjbXCjnp5ko,2019-10-18T14:19:06Z,5vHppfPSqo8XcWDkF,8XGQKbXaFSSv9imzz,6AS73fckMkjYBk9ps,"Hx68kYWSYoHpk7oBd,KPndwExJrrpoEYQqz",FawEjsjhNeQBadWYK,2019-10-18T14:17:25Z
Li6WzEsG4Jay8SC2D,2019-10-18T14:19:11Z,fQH9jScyFgdfeedNs,ABJe2EfBNfvLwPM2L,8YEqbTQrGSo4JC6nj,"DL6ricyKyGCRHBee6,NdKME2895pne8sRGY",FawEjsjhNeQBadWYK,2019-10-18T14:17:35Z
d2Lybu9Yqpy3L3fZa,2019-10-18T14:19:20Z,Cy6v7JKcnoGRkkJup,8XGQKbXaFSSv9imzz,Fa58hCPN2dk74usw5,"KsyM58KQn5eRYktC6,zgMRcHeLrrvssGTSi",FawEjsjhNeQBadWYK,2019-10-18T14:17:58Z
yt5ppu59hbDqAjRjs,2019-10-18T14:24:21Z,PyEZJRinfMEs6Zgr8,9jP2Zvk4BSt8Ds7NQ,95vnnL8FfcR5YiQLd,"PWa9kGh3gJxBuAepF,ftj8Mnnnwjws9Xbg3",FawEjsjhNeQBadWYK,2019-10-18T14:22:45Z
bE6zpN6kSNaJQSEyB,2019-10-18T14:24:53Z,kjmSo6SPnBxQKNpi4,KcFn7nMZ58i8SCsPG,BWsEK3Ph9LfZ5onBD,"EwQmkknXjjKx2ya2m,hg6WYYKvNZQZbcLvx",FawEjsjhNeQBadWYK,2019-10-18T14:23:20Z
mgBwPWCC5ZCydjJ4d,2019-10-18T14:25:30Z,HKjGsSL5289cyQGSG,9jP2Zvk4BSt8Ds7NQ,gq5FjxQd4msuFfcKG,"AMvty8HPYyEv55rD6,MxrEPWMLSp3KLnfJF",FawEjsjhNeQBadWYK,2019-10-18T14:24:26Z
QjGoxoDnxhFWn4rkF,2019-10-18T14:29:06Z,N8sTWXPRQTt56838P,ABJe2EfBNfvLwPM2L,4AvFZJd4J2EYEhGTB,"LnAiXEcdgqdANjoQF,MfzkMvmc9E5T3Scee",FawEjsjhNeQBadWYK,2019-10-18T14:27:42Z
PSMdkZAgMmboRdTnW,2019-10-18T14:29:45Z,KLRJGdEkB2MHiipHm,D9L4uoyXa3NFnFjed,6QruLM2KpFyveqr7E,"CpKaxXFvNYHsF83yy,eAKdwExmnY68yoeW9",FawEjsjhNeQBadWYK,2019-10-18T14:28:19Z
x5nP8GNtjowGKp6Ti,2019-10-18T14:34:34Z,Mi7JHmMGP7mH7wrWG,D9L4uoyXa3NFnFjed,djXPQboRxQ7cNFzz9,"D4u4nAic3iWFpmJXc,g8cvTrL45P5XefQGt",FawEjsjhNeQBadWYK,2019-10-18T14:33:06Z
hnjFwysZzXCFFinL4,2019-10-18T14:36:29Z,xdv8TLL2pZMJx45dS,KcFn7nMZ58i8SCsPG,mKbpScJn3go9dAyxC,"86FAYpFfT4dHxZaQr,axFXqJPxPWzAxA5iG",FawEjsjhNeQBadWYK,2019-10-18T14:35:00Z
ovz9umPttjuFcAGtH,2019-10-18T14:36:35Z,qZQN8hvNJfxnJcw78,hgAeXXWQ6JuC3KyNM,QbQ9n7bMuN88xNyYr,"3E2mExiRrWP3yB5KZ,Dz5jBKDCRqB3upoSd",FawEjsjhNeQBadWYK,2019-10-18T14:35:16Z
sqntWrycGK2C5dY8G,2019-10-18T14:50:33Z,766y8w8mCbmWTgRNc,KcFn7nMZ58i8SCsPG,XPbyroD2KT64m83ZF,"BkyrHrzEXKh3gdzwm,HXZNmaLc8mAhLJbpv",FawEjsjhNeQBadWYK,2019-10-18T14:49:18Z
hmnuCAYaZYubDmk6j,2019-10-18T14:50:52Z,EKpHuN5Bc8JgmJdRX,8XGQKbXaFSSv9imzz,juE557KShrHDXRE8B,"PHwyJccqcvsdhfynN,jy9CSvLEjMdsPRfZr",FawEjsjhNeQBadWYK,2019-10-18T14:49:43Z
M39kzHsFfaTnzbkEu,2019-10-18T14:57:33Z,jaEvTjySRvYse5JD4,KcFn7nMZ58i8SCsPG,GKX7Yz5vi8pW98FSD,"hYfE6ftjdTSopwXhM,xGoG7P7rtzrF9hdeK",FawEjsjhNeQBadWYK,2019-10-18T14:56:00Z
z58e8xaeCRBaY9hpq,2019-10-18T15:02:40Z,3DCtPmEatGDdRhxGL,ABJe2EfBNfvLwPM2L,qM4scQdrLQPw9aYbi,"Rmi6SgJozTh3BtJhf,rnKm55gEX6scHvSRQ",FawEjsjhNeQBadWYK,2019-10-18T15:01:23Z
TyDhzMJfBf2y5bfde,2019-10-18T15:03:58Z,dnzo6dXtv3oN7f8k5,8XGQKbXaFSSv9imzz,5TJyavdka6EjXACFn,"ghTwrbiyvzTPmEhuQ,npE8xpBcnLEKKZGiF",FawEjsjhNeQBadWYK,2019-10-18T15:02:41Z
v93XurhoMvuvjgeQP,2019-10-18T15:04:09Z,PCNyQksKb6zXMr5oq,D9L4uoyXa3NFnFjed,dZu3veko6u3hME5Wc,"6Q4FvDsAExpSFo4qY,KPnJSFxXBBBeCcJwe",FawEjsjhNeQBadWYK,2019-10-18T15:03:02Z
HCasoNb4PGBAM8Lb5,2019-10-18T15:13:33Z,KCdaToviLAJyzJcht,D9L4uoyXa3NFnFjed,S2E4qSYcPqmvEYBJk,"TfL7PKh3qv8cArW5c,vBSwAZ2oC8aDTCEAS",FawEjsjhNeQBadWYK,2019-10-18T15:12:38Z
cJBDF4tkJ6gDmiQEs,2019-10-18T15:18:32Z,emzCJeqmPxSrLDRQ3,8XGQKbXaFSSv9imzz,fiNerZpGXeixxzDz7,"cFosDwSJfRojLhnZP,j3AG4NFpsLHM7PeLR",FawEjsjhNeQBadWYK,2019-10-18T15:17:14Z
uW6o2LPChQeeD2FEH,2019-10-18T15:22:27Z,ZkP4spr4rPCBnNZwT,ABJe2EfBNfvLwPM2L,E7TZs4pLLHW2rxzkB,"EahwP5uj55MqpuoAK,FHXhjXy2EhdtYoBbq",FawEjsjhNeQBadWYK,2019-10-18T15:21:25Z
h9KfmnoZTiog7uGdt,2019-10-18T15:23:08Z,DcapmWvtK26AMokAf,9jP2Zvk4BSt8Ds7NQ,Wpt2gCkxGEiMQDATJ,"KnvABBcnNrKFqYAgN,LWWa8hxG2FdvwBDDe",FawEjsjhNeQBadWYK,2019-10-18T15:21:51Z
7g4Cufjser5ra5Lsr,2019-10-18T15:40:07Z,B7xwTRKyBGhAcjGk4,9jP2Zvk4BSt8Ds7NQ,88KsyXbqgyMuGHCXk,"4prLmqJL95fd65GHa,W2ahQ9vHZaHEt85j9",FawEjsjhNeQBadWYK,2019-10-18T15:39:01Z
wJNDktzQ9QBF8ftCX,2019-10-18T15:41:20Z,3qeikBZWH9rgGgMG7,D9L4uoyXa3NFnFjed,4S4sTRTGy5vC962zp,"MianWsmSaD7ovXnhC,hi5ER8XfQHf7TWzYR",FawEjsjhNeQBadWYK,2019-10-18T15:39:59Z
jFtiMBqNzYqHWAHpt,2019-10-18T15:54:02Z,RQxyqxacD2TX7FjzD,hgAeXXWQ6JuC3KyNM,kePPCZkqLbTFWQysA,"PSTqR8ZfgHsFYYkPq,RebKmDsxrZv2GRk2m",FawEjsjhNeQBadWYK,2019-10-18T15:52:41Z
362FuTJ9Wonjnmy2d,2019-10-18T16:05:31Z,JctQhKoBQv5HrBEG8,KcFn7nMZ58i8SCsPG,xADorJkL8BGne5KZf,"Ea4ytQEHZpjcGXBYM,ZkBbyzKcBykgaLojc",FawEjsjhNeQBadWYK,2019-10-18T16:04:21Z
9Jjypk2oLjLmuwSgs,2019-10-18T16:47:57Z,J78mqDoXgzh2bGCTc,9jP2Zvk4BSt8Ds7NQ,abyExFMbp2TBWHdyo,"36fcQoHftuakHsPCq,BdPRYZT87nFioidR6",FawEjsjhNeQBadWYK,2019-10-18T16:46:31Z
RR9tipahXZWApHtJM,2019-10-18T16:48:32Z,Yy3Y2iAgftCSEsM3H,KcFn7nMZ58i8SCsPG,A2z4KDBtD3n3htgiL,"CyoLZWJr3f4qADe9s,NA6m9sL5D6s9zsexW",FawEjsjhNeQBadWYK,2019-10-18T16:47:03Z
E48QksfjBvZcv83CC,2019-10-18T17:15:12Z,fmiS8tYG7dK6HkFMh,9jP2Zvk4BSt8Ds7NQ,idpRkNQufpu2nvSrp,"4m4sBuuhSzEdcQ2CX,FMP3pDrbP44hxK4uF",FawEjsjhNeQBadWYK,2019-10-18T17:13:47Z
dAFKWpwD2GBwXJz36,2019-10-18T18:07:43Z,5F74nH7pJBa26mC9j,D9L4uoyXa3NFnFjed,XBp3QK4dkLHbW4NbX,"QhmGyB9MzPWGnzz7G,dnLiz4pofe7z9nL4u",FawEjsjhNeQBadWYK,2019-10-18T18:06:37Z
SsYQnpwayBb9defca,2019-10-18T18:17:49Z,8TEcmDkG7sRzY5xyM,8XGQKbXaFSSv9imzz,6EFWEjSxKtzG9g9X4,"Fqwv3tFvZfqHTvGzf,uKkHCHokFtiJPpKaR",FawEjsjhNeQBadWYK,2019-10-18T18:16:44Z
mK464DydbKvQ6fGCT,2019-10-18T18:40:46Z,kpawXNMCy2seM6PbH,8XGQKbXaFSSv9imzz,xrRqyvDSLiAjqwZhT,"5gH6rNb8bp2WatjDh,SH3Zk4Hcomgia38Nx",FawEjsjhNeQBadWYK,2019-10-18T18:39:37Z
64ERcjBF7nvohwGBM,2019-10-18T19:02:40Z,YGKHJiT89yNMFZNsx,ABJe2EfBNfvLwPM2L,oaMJviaggF8yGN24j,"47jcJMajQwcXcdMjy,QYaqX7kR8zLrFtt84",FawEjsjhNeQBadWYK,2019-10-18T19:01:37Z
j422admFYkN9GNqbi,2019-10-18T19:03:09Z,mjrfWwz2fgZkvhsT2,D9L4uoyXa3NFnFjed,idbPZ3j5BxLvYbfGK,"69njaTC4G3Ymm8P7Z,Pt8wdPWsCAyybCiHA",FawEjsjhNeQBadWYK,2019-10-18T19:01:52Z
sovvnRc427TjcN77d,2019-10-18T19:16:57Z,2ZcB3heWjZf5ZGSzQ,ABJe2EfBNfvLwPM2L,QCkYJPiL7p24ET5dx,"WFda7jswWtx5JdvoC,xQtpvD7zFpnjqjX6v",FawEjsjhNeQBadWYK,2019-10-18T19:15:53Z
6yDJdwTBXcnxAj97R,2019-10-18T19:21:22Z,2cpgmYLpHhiHH62sE,ABJe2EfBNfvLwPM2L,D8MHsKjhLWkXu7FxT,"k9JdLx8KvbmBxiqP5,rHNp87aEZkbSnAjY7",FawEjsjhNeQBadWYK,2019-10-18T19:20:21Z
qy2soSQ5TPAfPHmD6,2019-10-18T19:24:23Z,BJJuEyF9TpD6dCMGt,8XGQKbXaFSSv9imzz,qtnkrW7WWTxyvqhsJ,"XL8xt9buseqfnQ3PR,nTHbesZDMBsYxyhsc",FawEjsjhNeQBadWYK,2019-10-18T19:23:17Z
CwCtmwAASyWCJ5SQv,2019-10-18T19:27:03Z,L4GaHa8bGLgHKF8nP,9jP2Zvk4BSt8Ds7NQ,HH4eZkZyBzR89cEyv,"XqxCX6cuXk5J75D5v,avzMKW8e4j7RC3w8Y",FawEjsjhNeQBadWYK,2019-10-18T19:25:50Z
iwDY99qakhZZwr3aF,2019-10-18T19:39:23Z,KHn8wjBScB8xuaSxX,9jP2Zvk4BSt8Ds7NQ,ARX7xGJrgDyNf5LeK,"24t9au5aKAqL4oBxm,obAcyXvzjGn43vRP3",FawEjsjhNeQBadWYK,2019-10-18T19:38:16Z
2GScubH2jsp4LHGbZ,2019-10-18T20:33:29Z,gWN987PETmFMh9RnS,KcFn7nMZ58i8SCsPG,uFhjDuFJCxLoKTSZa,"SEoiTnNhJGdTeQRZR,xq4EnbKnnKCgikzJK",FawEjsjhNeQBadWYK,2019-10-18T20:32:13Z
bm3W6aQaSbkoqNeWm,2019-10-18T20:42:16Z,Qhi4tvEHeJNDg23nb,9jP2Zvk4BSt8Ds7NQ,x4TZ3xDxZJZsDGDMp,"9sedhoXCoJHirxS4Z,LZhD2jMkfvbiySPDn",FawEjsjhNeQBadWYK,2019-10-18T20:41:14Z
XaKGYrgibo5suFnZ3,2019-10-18T21:10:43Z,oeCn5daq6bJv8om7m,ABJe2EfBNfvLwPM2L,SPGkZmoKQPeZSPHTR,"3wqo8BYrhwAcuBaKx,CWznXTd2gprW8QdpP",FawEjsjhNeQBadWYK,2019-10-18T21:09:16Z
