_id,batchId,playerId,roundId,gameId,createdAt
5Hbux2kdm3ZHdAnWu,FawEjsjhNeQBadWYK,X3bF2JWuqbsp6H5Fs,h4WJQ9typS7QFCFJA,cRhDBpo84q3RMYHgf,2019-10-18T14:06:48Z
eYJ3JDxr7hd8FQhe7,FawEjsjhNeQBadWYK,vv4zwiZh59QR2dBrY,h4WJQ9typS7QFCFJA,cRhDBpo84q3RMYHgf,2019-10-18T14:06:48Z
vTCZHEudDvb9wST3n,FawEjsjhNeQBadWYK,MFXDxHmz8ML7BYQuX,Bjbgn42vmDvAdqESv,NL592736fWp4KS94a,2019-10-18T14:11:00Z
KJuwTkPN7c4RQp7SY,FawEjsjhNeQBadWYK,NkaCup8zoviMbFdBL,Bjbgn42vmDvAdqESv,NL592736fWp4KS94a,2019-10-18T14:11:00Z
zPL7tRKwgb4BcfcnQ,FawEjsjhNeQBadWYK,gsw4PQgArWB6HPsz7,4wnJat5xk6DSc3QEM,iWnMt5qKNuWSQxvgF,2019-10-18T14:11:16Z
t89rz34KsaupxXFKk,FawEjsjhNeQBadWYK,p57Yoqywkve3wp5wF,4wnJat5xk6DSc3QEM,iWnMt5qKNuWSQxvgF,2019-10-18T14:11:16Z
DkjTQBfWrB3M5JNrv,FawEjsjhNeQBadWYK,WKvvmtj8GS4seCahr,mkNFZXfrq9YfyjSbY,3X2WZDNdCeitL9yMZ,2019-10-18T14:11:31Z
vH5J9DKrFR2iNjehz,FawEjsjhNeQBadWYK,e2o6PZpWNBo3ZMHt5,mkNFZXfrq9YfyjSbY,3X2WZDNdCeitL9yMZ,2019-10-18T14:11:31Z
xyKChPJnAv7LvqqCN,FawEjsjhNeQBadWYK,NmTGTA8X5x4AQdoQ7,RuAvnCaBeCCEkGg3M,yEPtksh5cXS9BSo9G,2019-10-18T14:13:39Z
eeNYwWyufB2uxfEWr,FawEjsjhNeQBadWYK,qwtBPyuDb8zGcKZg3,RuAvnCaBeCCEkGg3M,yEPtksh5cXS9BSo9G,2019-10-18T14:13:39Z
xpHhmoHMzxNBPmgRi,FawEjsjhNeQBadWYK,BWuCCstjzXqGvhik9,CjWJru4DR4YZH2qP7,GtpYaNsNv5NihNspG,2019-10-18T14:16:05Z
LmeSnETh9ThziLPfZ,FawEjsjhNeQBadWYK,wsBkAC4yRA7ySreHx,CjWJru4DR4YZH2qP7,GtpYaNsNv5NihNspG,2019-10-18T14:16:05Z
3qgeSnKQk7L38NARg,FawEjsjhNeQBadWYK,Hx68kYWSYoHpk7oBd,6AS73fckMkjYBk9ps,v47b8gwjbXCjnp5ko,2019-10-18T14:17:24Z
