_id,batchId,playerId,stageId,roundId,gameId,createdAt,data.value
vvyXdspijsbFGGZ8L,FawEjsjhNeQBadWYK,X3bF2JWuqbsp6H5Fs,LMPHtKybmS5w7CtKz,h4WJQ9typS7QFCFJA,cRhDBpo84q3RMYHgf,2019-10-18T14:06:47Z,
CAPBSuD3vN8exKAKJ,FawEjsjhNeQBadWYK,vv4zwiZh59QR2dBrY,LMPHtKybmS5w7CtKz,h4WJQ9typS7QFCFJA,cRhDBpo84q3RMYHgf,2019-10-18T14:06:47Z,
T29ypRYrrp9CJbf2r,FawEjsjhNeQBadWYK,X3bF2JWuqbsp6H5Fs,baJcErfZxLLzJpi2c,h4WJQ9typS7QFCFJA,cRhDBpo84q3RMYHgf,2019-10-18T14:06:47Z,
MFHmqh4NYbWKPrJfz,FawEjsjhNeQBadWYK,vv4zwiZh59QR2dBrY,baJcErfZxLLzJpi2c,h4WJQ9typS7QFCFJA,cRhDBpo84q3RMYHgf,2019-10-18T14:06:48Z,
hXNTck2peTrvRrJtW,FawEjsjhNeQBadWYK,X3bF2JWuqbsp6H5Fs,Gkaqx9YPq3u4p76La,h4WJQ9typS7QFCFJA,cRhDBpo84q3RMYHgf,2019-10-18T14:06:48Z,
d5mB7sGBpQxYQrauY,FawEjsjhNeQBadWYK,vv4zwiZh59QR2dBrY,Gkaqx9YPq3u4p76La,h4WJQ9typS7QFCFJA,cRhDBpo84q3RMYHgf,2019-10-18T14:06:48Z,
Z8HbAH3BYeEneSsvc,FawEjsjhNeQBadWYK,X3bF2JWuqbsp6H5Fs,Gw6yYEYCSDKtM3nNw,h4WJQ9typS7QFCFJA,cRhDBpo84q3RMYHgf,2019-10-18T14:06:48Z,
ZmGH5GoXe43sSsYBj,FawEjsjhNeQBadWYK,vv4zwiZh59QR2dBrY,Gw6yYEYCSDKtM3nNw,h4WJQ9typS7QFCFJA,cRhDBpo84q3RMYHgf,2019-10-18T14:06:48Z,
QgAEqXu57E8jF8iPX,FawEjsjhNeQBadWYK,X3bF2JWuqbsp6H5Fs,2SB5sDJ9mbPNmPw8Q,h4WJQ9typS7QFCFJA,cRhDBpo84q3RMYHgf,2019-10-18T14:06:48Z,
hjMwtKfTFx5fQzsQe,FawEjsjhNeQBadWYK,vv4zwiZh59QR2dBrY,2SB5sDJ9mbPNmPw8Q,h4WJQ9typS7QFCFJA,cRhDBpo84q3RMYHgf,2019-10-18T14:06:48Z,
JqqbddLdCRJbjednm,FawEjsjhNeQBadWYK,MFXDxHmz8ML7BYQuX,RcB7rgp3WhzjyEGya,Bjbgn42vmDvAdqESv,NL592736fWp4KS94a,2019-10-18T14:10:59Z,22
3ST6DAfdMPJKtsSbR,FawEjsjhNeQBadWYK,NkaCup8zoviMbFdBL,RcB7rgp3WhzjyEGya,Bjbgn42vmDvAdqESv,NL592736fWp4KS94a,2019-10-18T14:10:59Z,
pX4ZnhHoBhTcg5awm,FawEjsjhNeQBadWYK,MFXDxHmz8ML7BYQuX,iCFNhYiewqqS99XtR,Bjbgn42vmDvAdqESv,NL592736fWp4KS94a,2019-10-18T14:11:00Z,41
5iHm4tmz59B9KbKZd,FawEjsjhNeQBadWYK,NkaCup8zoviMbFdBL,iCFNhYiewqqS99XtR,Bjbgn42vmDvAdqESv,NL592736fWp4KS94a,2019-10-18T14:11:00Z,
pidyfMi5x9mvQZAsE,FawEjsjhNeQBadWYK,MFXDxHmz8ML7BYQuX,sGQ5wQrWeaiCfdLAc,Bjbgn42vmDvAdqESv,NL592736fWp4KS94a,2019-10-18T14:11:00Z,47
Am4Rd5TpFmzXu64Si,FawEjsjhNeQBadWYK,NkaCup8zoviMbFdBL,sGQ5wQrWeaiCfdLAc,Bjbgn42vmDvAdqESv,NL592736fWp4KS94a,2019-10-18T14:11:00Z,
nDvAgSSrkYCREeGfY,FawEjsjhNeQBadWYK,MFXDxHmz8ML7BYQuX,C6RwAgsnRxtrfXXch,Bjbgn42vmDvAdqESv,NL592736fWp4KS94a,2019-10-18T14:11:00Z,45
q7vfBRRrcxR9Pn2v2,FawEjsjhNeQBadWYK,NkaCup8zoviMbFdBL,C6RwAgsnRxtrfXXch,Bjbgn42vmDvAdqESv,NL592736fWp4KS94a,2019-10-18T14:11:00Z,
YGCepfubEMctwC3SJ,FawEjsjhNeQBadWYK,MFXDxHmz8ML7BYQuX,QBWeEqeLwhj3wmqCY,Bjbgn42vmDvAdqESv,NL592736fWp4KS94a,2019-10-18T14:11:00Z,45
PQfQ9kXDWXkXHMGJS,FawEjsjhNeQBadWYK,NkaCup8zoviMbFdBL,QBWeEqeLwhj3wmqCY,Bjbgn42vmDvAdqESv,NL592736fWp4KS94a,2019-10-18T14:11:00Z,
PNhmjQEtrXyjbD9FN,FawEjsjhNeQBadWYK,gsw4PQgArWB6HPsz7,38kCD7AJzTWvepjQJ,4wnJat5xk6DSc3QEM,iWnMt5qKNuWSQxvgF,2019-10-18T14:11:15Z,36
