_id,index,name,displayName,startTimeAt,durationInSeconds,roundId,gameId,createdAt
LMPHtKybmS5w7CtKz,0,individual,First Stage (Individual),2019-10-18T14:06:49Z,30,h4WJQ9typS7QFCFJA,cRhDBpo84q3RMYHgf,2019-10-18T14:06:47Z
baJcErfZxLLzJpi2c,1,group1,Second Stage (Group),2019-10-18T14:07:21Z,15,h4WJQ9typS7QFCFJA,cRhDBpo84q3RMYHgf,2019-10-18T14:06:47Z
Gkaqx9YPq3u4p76La,2,group2,Third Stage (Group),2019-10-18T14:07:39Z,15,h4WJQ9typS7QFCFJA,cRhDBpo84q3RMYHgf,2019-10-18T14:06:48Z
Gw6yYEYCSDKtM3nNw,3,group3,Fourth Stage (Group),2019-10-18T14:07:54Z,15,h4WJQ9typS7QFCFJA,cRhDBpo84q3RMYHgf,2019-10-18T14:06:48Z
2SB5sDJ9mbPNmPw8Q,4,group4,Fifth Stage (Group),2019-10-18T14:08:11Z,15,h4WJQ9typS7QFCFJA,cRhDBpo84q3RMYHgf,2019-10-18T14:06:48Z
RcB7rgp3WhzjyEGya,0,individual,First Stage (Individual),2019-10-18T14:11:01Z,30,Bjbgn42vmDvAdqESv,NL592736fWp4KS94a,2019-10-18T14:10:59Z
iCFNhYiewqqS99XtR,1,group1,Second Stage (Group),2019-10-18T14:11:29Z,15,Bjbgn42vmDvAdqESv,NL592736fWp4KS94a,2019-10-18T14:11:00Z
sGQ5wQrWeaiCfdLAc,2,group2,Third Stage (Group),2019-10-18T14:11:40Z,15,Bjbgn42vmDvAdqESv,NL592736fWp4KS94a,2019-10-18T14:11:00Z
C6RwAgsnRxtrfXXch,3,group3,Fourth Stage (Group),2019-10-18T14:11:58Z,15,Bjbgn42vmDvAdqESv,NL592736fWp4KS94a,2019-10-18T14:11:00Z
QBWeEqeLwhj3wmqCY,4,group4,Fifth Stage (Group),2019-10-18T14:12:14Z,15,Bjbgn42vmDvAdqESv,NL592736fWp4KS94a,2019-10-18T14:11:00Z
