_id,name,factorIds,createdAt,archivedAt
EFNZQvPdob9oBvw4T,micro apolitical prime,"Xet22qJkWxTg5sRzh,j8cPe5ciqqxJx3Zt5,iC2a2adCZBF2c3FXb,EXnaBFWgrhiz2zkdD",2019-04-27T22:55:00Z,2019-03-25T21:50:07Z
N7NaRawPBhHQsTKSP,micro patriotic prime,"Xet22qJkWxTg5sRzh,LYCoEdT4Gk2bAnC7T,iC2a2adCZBF2c3FXb,EXnaBFWgrhiz2zkdD",2019-04-27T22:55:00Z,2019-03-25T21:50:07Z
DxMX5Ay5pZs5YYSaR,micro enemy prime,"Xet22qJkWxTg5sRzh,vjqusSNNvCjkWyrLB,iC2a2adCZBF2c3FXb,EXnaBFWgrhiz2zkdD",2019-04-27T22:55:00Z,2019-03-25T21:50:07Z
AzHJ8u6vtvBcRu7gx,micro apolitical hostile,"Xet22qJkWxTg5sRzh,j8cPe5ciqqxJx3Zt5,iC2a2adCZBF2c3FXb,EXnaBFWgrhiz2zkdD,yjKgRNSFAF2BjhnTm",2019-04-27T22:55:00Z,2019-04-16T19:50:03Z
hgAeXXWQ6JuC3KyNM,micro apolitical friendly,"Xet22qJkWxTg5sRzh,j8cPe5ciqqxJx3Zt5,iC2a2adCZBF2c3FXb,EXnaBFWgrhiz2zkdD,eM5jDahLcbrv9Pu4i",2019-04-27T22:55:00Z,
9jP2Zvk4BSt8Ds7NQ,micro apolitical stubborn,"Xet22qJkWxTg5sRzh,j8cPe5ciqqxJx3Zt5,iC2a2adCZBF2c3FXb,EXnaBFWgrhiz2zkdD,H8FQh7PAuzdWELdgm",2019-04-27T22:55:00Z,
JHku8kd5yPkvKJCG9,micro patriotic hostile,"Xet22qJkWxTg5sRzh,LYCoEdT4Gk2bAnC7T,iC2a2adCZBF2c3FXb,EXnaBFWgrhiz2zkdD,yjKgRNSFAF2BjhnTm",2019-04-27T22:55:00Z,2019-04-16T19:50:04Z
8XGQKbXaFSSv9imzz,micro patriotic friendly,"Xet22qJkWxTg5sRzh,LYCoEdT4Gk2bAnC7T,iC2a2adCZBF2c3FXb,EXnaBFWgrhiz2zkdD,eM5jDahLcbrv9Pu4i",2019-04-27T22:55:00Z,
ABJe2EfBNfvLwPM2L,micro patriotic stubborn,"Xet22qJkWxTg5sRzh,LYCoEdT4Gk2bAnC7T,iC2a2adCZBF2c3FXb,EXnaBFWgrhiz2zkdD,H8FQh7PAuzdWELdgm",2019-04-27T22:55:00Z,
cqtKEQZemw6cRcmQp,micro enemy hostile,"Xet22qJkWxTg5sRzh,vjqusSNNvCjkWyrLB,iC2a2adCZBF2c3FXb,EXnaBFWgrhiz2zkdD,yjKgRNSFAF2BjhnTm",2019-04-27T22:55:00Z,2019-04-16T19:50:06Z
D9L4uoyXa3NFnFjed,micro enemy friendly,"Xet22qJkWxTg5sRzh,vjqusSNNvCjkWyrLB,iC2a2adCZBF2c3FXb,EXnaBFWgrhiz2zkdD,eM5jDahLcbrv9Pu4i",2019-04-27T22:55:00Z,
KcFn7nMZ58i8SCsPG,micro enemy stubborn,"Xet22qJkWxTg5sRzh,vjqusSNNvCjkWyrLB,iC2a2adCZBF2c3FXb,EXnaBFWgrhiz2zkdD,H8FQh7PAuzdWELdgm",2019-04-27T22:55:00Z,
